Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;17,2
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;33,5
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;25,4
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;9,7
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;24,8
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;16,6
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,7
Castilla y León;En porcentaje de la población total;Total;100
Castilla y León;En porcentaje de la población total;Abonados o socios: Total;18,8
Castilla y León;En porcentaje de la población total;Abonados o socios: Públicos;12,4
Castilla y León;En porcentaje de la población total;Abonados o socios: Privados;7,5
Castilla y León;En porcentaje de la población total;Abonados o socios de gimnasios: Total;10,2
Castilla y León;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;6,0
Castilla y León;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;4,5
Castilla y León;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;9,4
Castilla y León;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;6,8
Castilla y León;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;3,2
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Total;100
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;34,9
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;22,9
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;14,1
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;19,9
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;11,6
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;8,9
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;16,6
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;12,1
Castilla y León;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;5,8
Castilla-La Mancha;En porcentaje de la población total;Total;100
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios: Total;18,4
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios: Públicos;10,6
