Indicador;Tipo de bienes y servicios;periodo;Total
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2007;32,0
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2006;28,9
Porcentaje;2.1. Grandes equipos;2023;5,5
Porcentaje;2.1. Grandes equipos;2022;5,6
Porcentaje;2.1. Grandes equipos;2021;9,9
Porcentaje;2.1. Grandes equipos;2020;8,5
Porcentaje;2.1. Grandes equipos;2019;5,2
Porcentaje;2.1. Grandes equipos;2018;4,0
Porcentaje;2.1. Grandes equipos;2017;4,7
Porcentaje;2.1. Grandes equipos;2016;4,5
Porcentaje;2.1. Grandes equipos;2015;3,7
Porcentaje;2.1. Grandes equipos;2014;3,0
Porcentaje;2.1. Grandes equipos;2013;3,1
Porcentaje;2.1. Grandes equipos;2012;9,1
Porcentaje;2.1. Grandes equipos;2011;7,9
Porcentaje;2.1. Grandes equipos;2010;11,1
Porcentaje;2.1. Grandes equipos;2009;8,7
Porcentaje;2.1. Grandes equipos;2008;7,7
Porcentaje;2.1. Grandes equipos;2007;12,7
Porcentaje;2.1. Grandes equipos;2006;7,7
Porcentaje;2.2. Otros equipos;2023;11,8
Porcentaje;2.2. Otros equipos;2022;11,7
Porcentaje;2.2. Otros equipos;2021;12,9
Porcentaje;2.2. Otros equipos;2020;16,8
Porcentaje;2.2. Otros equipos;2019;11,5
Porcentaje;2.2. Otros equipos;2018;12,0
Porcentaje;2.2. Otros equipos;2017;11,0
Porcentaje;2.2. Otros equipos;2016;10,7
Porcentaje;2.2. Otros equipos;2015;13,9
Porcentaje;2.2. Otros equipos;2014;14,6
Porcentaje;2.2. Otros equipos;2013;12,5
Porcentaje;2.2. Otros equipos;2012;13,2
Porcentaje;2.2. Otros equipos;2011;13,4
Porcentaje;2.2. Otros equipos;2010;13,7
Porcentaje;2.2. Otros equipos;2009;14,1
Porcentaje;2.2. Otros equipos;2008;13,0
Porcentaje;2.2. Otros equipos;2007;14,5
Porcentaje;2.2. Otros equipos;2006;15,9
Porcentaje;2.3. Bicicletas;2023;5,8
Porcentaje;2.3. Bicicletas;2022;6,3
Porcentaje;2.3. Bicicletas;2021;8,8
Porcentaje;2.3. Bicicletas;2020;10,3
Porcentaje;2.3. Bicicletas;2019;5,6
Porcentaje;2.3. Bicicletas;2018;7,1
Porcentaje;2.3. Bicicletas;2017;5,1
Porcentaje;2.3. Bicicletas;2016;6,8
Porcentaje;2.3. Bicicletas;2015;7,8
Porcentaje;2.3. Bicicletas;2014;7,5
Porcentaje;2.3. Bicicletas;2013;6,8
Porcentaje;2.3. Bicicletas;2012;6,9
Porcentaje;2.3. Bicicletas;2011;6,8
Porcentaje;2.3. Bicicletas;2010;6,3
Porcentaje;2.3. Bicicletas;2009;6,6
Porcentaje;2.3. Bicicletas;2008;5,1
Porcentaje;2.3. Bicicletas;2007;4,8
Porcentaje;2.3. Bicicletas;2006;5,4
Gasto medio por hogar (Euros);TOTAL;2023;327,6
Gasto medio por hogar (Euros);TOTAL;2022;322,2
Gasto medio por hogar (Euros);TOTAL;2021;233,0
Gasto medio por hogar (Euros);TOTAL;2020;182,2
Gasto medio por hogar (Euros);TOTAL;2019;309,7
Gasto medio por hogar (Euros);TOTAL;2018;296,7
Gasto medio por hogar (Euros);TOTAL;2017;307,2
Gasto medio por hogar (Euros);TOTAL;2016;267,0
Gasto medio por hogar (Euros);TOTAL;2015;241,8
Gasto medio por hogar (Euros);TOTAL;2014;230,1
Gasto medio por hogar (Euros);TOTAL;2013;251,0
Gasto medio por hogar (Euros);TOTAL;2012;247,0
Gasto medio por hogar (Euros);TOTAL;2011;267,0
Gasto medio por hogar (Euros);TOTAL;2010;266,0
