Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
Gasto medio por hogar (Euros);Menos de 1.000 euros;2011;65,7
Gasto medio por hogar (Euros);Menos de 1.000 euros;2010;63,9
Gasto medio por hogar (Euros);Menos de 1.000 euros;2009;54,8
Gasto medio por hogar (Euros);Menos de 1.000 euros;2008;48,6
Gasto medio por hogar (Euros);Menos de 1.000 euros;2007;45,1
Gasto medio por hogar (Euros);Menos de 1.000 euros;2006;52,5
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2023;139,3
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2022;100,5
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2021;103,2
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2020;94,1
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2019;159,8
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2018;122,5
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2017;152,0
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2016;154,0
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2015;124,5
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2014;144,6
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2013;161,5
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2012;135,2
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2011;160,0
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2010;132,7
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2009;145,9
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2008;131,2
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2007;171,1
Gasto medio por hogar (Euros);Entre 1.000 y 1.499 euros;2006;143,3
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2023;200,9
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2022;231,5
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2021;153,3
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2020;107,8
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2019;222,9
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2018;229,5
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2017;255,1
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2016;255,8
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2015;239,1
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2014;248,4
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2013;249,1
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2012;238,6
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2011;228,0
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2010;225,2
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2009;200,0
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2008;212,4
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2007;219,7
Gasto medio por hogar (Euros);Entre 1.500 y 1.999 euros;2006;283,6
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2023;239,9
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2022;285,0
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2021;202,6
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2020;165,2
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2019;304,7
