Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2014;89,3
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2013;117,7
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2012;91,8
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2011;75,6
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2010;148,8
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2009;60,7
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2008;58,9
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2007;82,8
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2006;63,2
TOTAL (Millones de euros);Estado civil: Soltero;2023;1.464,1
TOTAL (Millones de euros);Estado civil: Soltero;2022;1.373,0
TOTAL (Millones de euros);Estado civil: Soltero;2021;923,5
TOTAL (Millones de euros);Estado civil: Soltero;2020;841,1
TOTAL (Millones de euros);Estado civil: Soltero;2019;1.343,2
TOTAL (Millones de euros);Estado civil: Soltero;2018;1.100,9
TOTAL (Millones de euros);Estado civil: Soltero;2017;1.204,5
TOTAL (Millones de euros);Estado civil: Soltero;2016;1.027,5
TOTAL (Millones de euros);Estado civil: Soltero;2015;857,1
TOTAL (Millones de euros);Estado civil: Soltero;2014;826,5
TOTAL (Millones de euros);Estado civil: Soltero;2013;938,8
TOTAL (Millones de euros);Estado civil: Soltero;2012;746,8
TOTAL (Millones de euros);Estado civil: Soltero;2011;860,2
TOTAL (Millones de euros);Estado civil: Soltero;2010;671,9
TOTAL (Millones de euros);Estado civil: Soltero;2009;759,4
TOTAL (Millones de euros);Estado civil: Soltero;2008;746,5
TOTAL (Millones de euros);Estado civil: Soltero;2007;770,5
TOTAL (Millones de euros);Estado civil: Soltero;2006;557,8
TOTAL (Millones de euros);Estado civil: Casado;2023;4.129,6
TOTAL (Millones de euros);Estado civil: Casado;2022;3.972,3
TOTAL (Millones de euros);Estado civil: Casado;2021;2.782,9
TOTAL (Millones de euros);Estado civil: Casado;2020;2.197,4
TOTAL (Millones de euros);Estado civil: Casado;2019;3.766,9
TOTAL (Millones de euros);Estado civil: Casado;2018;3.781,3
TOTAL (Millones de euros);Estado civil: Casado;2017;3.796,5
TOTAL (Millones de euros);Estado civil: Casado;2016;3.270,7
TOTAL (Millones de euros);Estado civil: Casado;2015;3.069,6
TOTAL (Millones de euros);Estado civil: Casado;2014;2.764,4
TOTAL (Millones de euros);Estado civil: Casado;2013;3.078,3
TOTAL (Millones de euros);Estado civil: Casado;2012;2.999,6
TOTAL (Millones de euros);Estado civil: Casado;2011;3.339,9
TOTAL (Millones de euros);Estado civil: Casado;2010;3.499,5
TOTAL (Millones de euros);Estado civil: Casado;2009;3.402,4
TOTAL (Millones de euros);Estado civil: Casado;2008;3.756,0
TOTAL (Millones de euros);Estado civil: Casado;2007;3.598,1
TOTAL (Millones de euros);Estado civil: Casado;2006;3.252,5
TOTAL (Millones de euros);Estado civil: Viudo;2023;275,2
TOTAL (Millones de euros);Estado civil: Viudo;2022;256,3
TOTAL (Millones de euros);Estado civil: Viudo;2021;204,3
TOTAL (Millones de euros);Estado civil: Viudo;2020;134,0
TOTAL (Millones de euros);Estado civil: Viudo;2019;242,9
TOTAL (Millones de euros);Estado civil: Viudo;2018;218,0
TOTAL (Millones de euros);Estado civil: Viudo;2017;213,2
TOTAL (Millones de euros);Estado civil: Viudo;2016;148,6
TOTAL (Millones de euros);Estado civil: Viudo;2015;161,1
