Indicador;Comunidad autónoma;periodo;Total
Porcentaje;Balears (Illes);2006;1,0
Porcentaje;Canarias;2023;1,0
Porcentaje;Canarias;2022;0,8
Porcentaje;Canarias;2021;0,8
Porcentaje;Canarias;2020;0,3
Porcentaje;Canarias;2019;0,9
Porcentaje;Canarias;2018;0,8
Porcentaje;Canarias;2017;0,8
Porcentaje;Canarias;2016;0,8
Porcentaje;Canarias;2015;1,1
Porcentaje;Canarias;2014;0,9
Porcentaje;Canarias;2013;0,7
Porcentaje;Canarias;2012;0,8
Porcentaje;Canarias;2011;0,8
Porcentaje;Canarias;2010;0,9
Porcentaje;Canarias;2009;0,7
Porcentaje;Canarias;2008;0,8
Porcentaje;Canarias;2007;0,8
Porcentaje;Canarias;2006;0,7
Porcentaje;Cantabria;2023;1,0
Porcentaje;Cantabria;2022;1,0
Porcentaje;Cantabria;2021;0,8
Porcentaje;Cantabria;2020;0,5
Porcentaje;Cantabria;2019;1,0
Porcentaje;Cantabria;2018;0,9
Porcentaje;Cantabria;2017;1,5
Porcentaje;Cantabria;2016;0,7
Porcentaje;Cantabria;2015;0,6
Porcentaje;Cantabria;2014;0,7
Porcentaje;Cantabria;2013;0,9
Porcentaje;Cantabria;2012;0,6
Porcentaje;Cantabria;2011;0,7
Porcentaje;Cantabria;2010;0,6
Porcentaje;Cantabria;2009;1,0
Porcentaje;Cantabria;2008;0,9
Porcentaje;Cantabria;2007;0,5
Porcentaje;Cantabria;2006;0,6
Porcentaje;Castilla y León;2023;1,0
Porcentaje;Castilla y León;2022;1,0
Porcentaje;Castilla y León;2021;0,6
Porcentaje;Castilla y León;2020;0,6
Porcentaje;Castilla y León;2019;0,9
Porcentaje;Castilla y León;2018;0,9
Porcentaje;Castilla y León;2017;1,0
Porcentaje;Castilla y León;2016;1,0
Porcentaje;Castilla y León;2015;0,8
Porcentaje;Castilla y León;2014;0,8
Porcentaje;Castilla y León;2013;1,1
Porcentaje;Castilla y León;2012;0,7
Porcentaje;Castilla y León;2011;0,8
Porcentaje;Castilla y León;2010;1,0
Porcentaje;Castilla y León;2009;0,8
Porcentaje;Castilla y León;2008;0,8
Porcentaje;Castilla y León;2007;0,7
Porcentaje;Castilla y León;2006;0,8
Porcentaje;Castilla-La Mancha;2023;1,0
Porcentaje;Castilla-La Mancha;2022;0,8
Porcentaje;Castilla-La Mancha;2021;0,4
Porcentaje;Castilla-La Mancha;2020;0,5
Porcentaje;Castilla-La Mancha;2019;0,9
Porcentaje;Castilla-La Mancha;2018;0,7
Porcentaje;Castilla-La Mancha;2017;0,8
Porcentaje;Castilla-La Mancha;2016;0,8
Porcentaje;Castilla-La Mancha;2015;0,7
Porcentaje;Castilla-La Mancha;2014;0,9
