Indicador;Tamaño de municipio;periodo;Total
Gasto medio por unidad de consumo (Euros);TOTAL;2021;138,7
Gasto medio por unidad de consumo (Euros);TOTAL;2020;108,4
Gasto medio por unidad de consumo (Euros);TOTAL;2019;184,4
Gasto medio por unidad de consumo (Euros);TOTAL;2018;176,9
Gasto medio por unidad de consumo (Euros);TOTAL;2017;183,1
Gasto medio por unidad de consumo (Euros);TOTAL;2016;159,1
Gasto medio por unidad de consumo (Euros);TOTAL;2015;143,7
Gasto medio por unidad de consumo (Euros);TOTAL;2014;136,4
Gasto medio por unidad de consumo (Euros);TOTAL;2013;147,8
Gasto medio por unidad de consumo (Euros);TOTAL;2012;144,5
Gasto medio por unidad de consumo (Euros);TOTAL;2011;155,0
Gasto medio por unidad de consumo (Euros);TOTAL;2010;153,1
Gasto medio por unidad de consumo (Euros);TOTAL;2009;149,6
Gasto medio por unidad de consumo (Euros);TOTAL;2008;161,5
Gasto medio por unidad de consumo (Euros);TOTAL;2007;159,4
Gasto medio por unidad de consumo (Euros);TOTAL;2006;142,8
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2023;201,0
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2022;199,0
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2021;140,5
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2020;119,8
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2019;206,9
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2018;192,0
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2017;185,9
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2016;168,0
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2015;145,7
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2014;142,9
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2013;162,4
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2012;148,9
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2011;162,9
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2010;171,8
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2009;160,8
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2008;159,0
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2007;169,5
Gasto medio por unidad de consumo (Euros);100.000 o más habitantes;2006;161,7
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2023;224,5
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2022;211,1
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2021;183,6
Gasto medio por unidad de consumo (Euros);De 50.000 a 99.999 habitantes;2020;87,2
