Tipo de entidad;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Canarias;2021;91.600
AYUNTAMIENTOS;Canarias;2020;83.822
AYUNTAMIENTOS;Canarias;2019;87.167
AYUNTAMIENTOS;Canarias;2018;79.242
AYUNTAMIENTOS;Canarias;2017;71.875
AYUNTAMIENTOS;Canarias;2016;65.266
AYUNTAMIENTOS;Canarias;2015;61.689
AYUNTAMIENTOS;Canarias;2014;57.508
AYUNTAMIENTOS;Canarias;2013;52.992
AYUNTAMIENTOS;Canarias;2012;62.576
AYUNTAMIENTOS;Canarias;2011;77.939
AYUNTAMIENTOS;Canarias;2010;87.532
AYUNTAMIENTOS;Cantabria;2023;54.083
AYUNTAMIENTOS;Cantabria;2022;43.065
AYUNTAMIENTOS;Cantabria;2021;36.802
AYUNTAMIENTOS;Cantabria;2020;31.530
AYUNTAMIENTOS;Cantabria;2019;36.125
AYUNTAMIENTOS;Cantabria;2018;32.427
AYUNTAMIENTOS;Cantabria;2017;32.075
AYUNTAMIENTOS;Cantabria;2016;31.108
AYUNTAMIENTOS;Cantabria;2015;28.659
AYUNTAMIENTOS;Cantabria;2014;33.488
AYUNTAMIENTOS;Cantabria;2013;29.545
AYUNTAMIENTOS;Cantabria;2012;29.132
AYUNTAMIENTOS;Cantabria;2011;35.248
AYUNTAMIENTOS;Cantabria;2010;39.044
AYUNTAMIENTOS;Castilla y León;2023;167.136
AYUNTAMIENTOS;Castilla y León;2022;161.723
AYUNTAMIENTOS;Castilla y León;2021;126.461
AYUNTAMIENTOS;Castilla y León;2020;107.287
AYUNTAMIENTOS;Castilla y León;2019;125.694
AYUNTAMIENTOS;Castilla y León;2018;114.264
AYUNTAMIENTOS;Castilla y León;2017;107.385
AYUNTAMIENTOS;Castilla y León;2016;110.446
AYUNTAMIENTOS;Castilla y León;2015;117.105
AYUNTAMIENTOS;Castilla y León;2014;91.918
AYUNTAMIENTOS;Castilla y León;2013;84.396
AYUNTAMIENTOS;Castilla y León;2012;88.888
AYUNTAMIENTOS;Castilla y León;2011;115.458
AYUNTAMIENTOS;Castilla y León;2010;154.276
AYUNTAMIENTOS;Castilla-La Mancha;2023;153.954
AYUNTAMIENTOS;Castilla-La Mancha;2022;131.632
AYUNTAMIENTOS;Castilla-La Mancha;2021;103.762
AYUNTAMIENTOS;Castilla-La Mancha;2020;89.762
AYUNTAMIENTOS;Castilla-La Mancha;2019;108.569
AYUNTAMIENTOS;Castilla-La Mancha;2018;100.914
AYUNTAMIENTOS;Castilla-La Mancha;2017;92.226
AYUNTAMIENTOS;Castilla-La Mancha;2016;87.941
AYUNTAMIENTOS;Castilla-La Mancha;2015;88.138
AYUNTAMIENTOS;Castilla-La Mancha;2014;85.364
AYUNTAMIENTOS;Castilla-La Mancha;2013;88.743
AYUNTAMIENTOS;Castilla-La Mancha;2012;97.275
AYUNTAMIENTOS;Castilla-La Mancha;2011;119.555
AYUNTAMIENTOS;Castilla-La Mancha;2010;149.130
AYUNTAMIENTOS;Cataluña;2023;468.069
AYUNTAMIENTOS;Cataluña;2022;411.988
AYUNTAMIENTOS;Cataluña;2021;351.537
AYUNTAMIENTOS;Cataluña;2020;330.266
AYUNTAMIENTOS;Cataluña;2019;381.878
AYUNTAMIENTOS;Cataluña;2018;378.669
AYUNTAMIENTOS;Cataluña;2017;322.962
AYUNTAMIENTOS;Cataluña;2016;304.122
AYUNTAMIENTOS;Cataluña;2015;308.322
AYUNTAMIENTOS;Cataluña;2014;285.617
AYUNTAMIENTOS;Cataluña;2013;279.335
AYUNTAMIENTOS;Cataluña;2012;290.256
AYUNTAMIENTOS;Cataluña;2011;341.534
AYUNTAMIENTOS;Cataluña;2010;433.305
AYUNTAMIENTOS;Comunitat Valenciana;2023;320.434
AYUNTAMIENTOS;Comunitat Valenciana;2022;272.419
AYUNTAMIENTOS;Comunitat Valenciana;2021;222.309
AYUNTAMIENTOS;Comunitat Valenciana;2020;202.635
AYUNTAMIENTOS;Comunitat Valenciana;2019;223.862
AYUNTAMIENTOS;Comunitat Valenciana;2018;189.869
AYUNTAMIENTOS;Comunitat Valenciana;2017;181.375
AYUNTAMIENTOS;Comunitat Valenciana;2016;175.473
AYUNTAMIENTOS;Comunitat Valenciana;2015;183.395
AYUNTAMIENTOS;Comunitat Valenciana;2014;160.022
AYUNTAMIENTOS;Comunitat Valenciana;2013;149.567
AYUNTAMIENTOS;Comunitat Valenciana;2012;169.649
AYUNTAMIENTOS;Comunitat Valenciana;2011;232.680
AYUNTAMIENTOS;Comunitat Valenciana;2010;296.575
AYUNTAMIENTOS;Extremadura;2023;56.107
AYUNTAMIENTOS;Extremadura;2022;48.333
AYUNTAMIENTOS;Extremadura;2021;41.207
AYUNTAMIENTOS;Extremadura;2020;35.179
AYUNTAMIENTOS;Extremadura;2019;45.583
AYUNTAMIENTOS;Extremadura;2018;41.620
AYUNTAMIENTOS;Extremadura;2017;34.098
AYUNTAMIENTOS;Extremadura;2016;31.163
AYUNTAMIENTOS;Extremadura;2015;32.412
AYUNTAMIENTOS;Extremadura;2014;32.067
AYUNTAMIENTOS;Extremadura;2013;24.296
AYUNTAMIENTOS;Extremadura;2012;32.430
AYUNTAMIENTOS;Extremadura;2011;32.532
AYUNTAMIENTOS;Extremadura;2010;50.405
AYUNTAMIENTOS;Galicia;2023;152.703
AYUNTAMIENTOS;Galicia;2022;128.296
AYUNTAMIENTOS;Galicia;2021;108.519
AYUNTAMIENTOS;Galicia;2020;104.331
AYUNTAMIENTOS;Galicia;2019;122.842
AYUNTAMIENTOS;Galicia;2018;108.982
AYUNTAMIENTOS;Galicia;2017;98.078
AYUNTAMIENTOS;Galicia;2016;92.704
AYUNTAMIENTOS;Galicia;2015;95.788
AYUNTAMIENTOS;Galicia;2014;84.596
AYUNTAMIENTOS;Galicia;2013;90.765
AYUNTAMIENTOS;Galicia;2012;88.120
AYUNTAMIENTOS;Galicia;2011;107.840
AYUNTAMIENTOS;Galicia;2010;136.851
AYUNTAMIENTOS;Madrid, Comunidad de;2023;465.062
AYUNTAMIENTOS;Madrid, Comunidad de;2022;464.221
AYUNTAMIENTOS;Madrid, Comunidad de;2021;398.524
AYUNTAMIENTOS;Madrid, Comunidad de;2020;334.156
AYUNTAMIENTOS;Madrid, Comunidad de;2019;355.737
AYUNTAMIENTOS;Madrid, Comunidad de;2018;331.101
AYUNTAMIENTOS;Madrid, Comunidad de;2017;319.520
AYUNTAMIENTOS;Madrid, Comunidad de;2016;301.860
AYUNTAMIENTOS;Madrid, Comunidad de;2015;286.257
AYUNTAMIENTOS;Madrid, Comunidad de;2014;283.202
AYUNTAMIENTOS;Madrid, Comunidad de;2013;285.913
AYUNTAMIENTOS;Madrid, Comunidad de;2012;304.106
AYUNTAMIENTOS;Madrid, Comunidad de;2011;344.062
AYUNTAMIENTOS;Madrid, Comunidad de;2010;407.162
AYUNTAMIENTOS;Murcia, Región de;2023;77.238
AYUNTAMIENTOS;Murcia, Región de;2022;67.122
AYUNTAMIENTOS;Murcia, Región de;2021;58.865
AYUNTAMIENTOS;Murcia, Región de;2020;56.083
AYUNTAMIENTOS;Murcia, Región de;2019;64.501
AYUNTAMIENTOS;Murcia, Región de;2018;53.259
AYUNTAMIENTOS;Murcia, Región de;2017;51.497
