Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2021;147.404,0
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2020;145.907,0
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2019;141.055,0
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2018;122.516,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2023;51.273,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2022;84.549,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2021;60.240,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2020;4.203,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2019;7.113,0
Consejo Superior de Deportes;Valores absolutos;GASTOS DE CAPITAL;2018;22.345,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2023;2.318,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2022;2.126,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2021;1.727,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2020;1.798,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2019;1.975,0
Consejo Superior de Deportes;Valores absolutos;Inversiones reales;2018;1.474,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2023;48.955,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2022;82.423,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2021;58.513,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2020;2.404,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2019;5.138,0
Consejo Superior de Deportes;Valores absolutos;Transferencias de capital;2018;20.872,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2023;5,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2022;8,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2021;7,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2020;738,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2019;1.203,0
Consejo Superior de Deportes;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2018;816,0
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2023;98,1
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2022;97,0
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2021;96,8
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2020;93,8
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2019;95,4
Consejo Superior de Deportes;Porcentaje;TOTAL (Miles de euros);2018;95,2
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2023;97,8
