Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2019;223.862
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2018;189.869
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2017;181.375
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2016;175.473
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2015;183.395
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2014;160.022
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2013;149.567
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2012;169.649
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2011;232.680
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2010;296.575
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2023;56.107
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2022;48.333
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2021;41.207
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2020;35.179
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2019;45.583
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2018;41.620
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2017;34.098
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2016;31.163
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2015;32.412
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2014;32.067
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2013;24.296
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2012;32.430
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2011;32.532
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Extremadura;2010;50.405
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2023;152.703
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2022;128.296
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2021;108.519
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2020;104.331
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2019;122.842
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2018;108.982
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2017;98.078
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2016;92.704
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2015;95.788
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2014;84.596
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2013;90.765
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2012;88.120
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2011;107.840
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Galicia;2010;136.851
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2023;465.062
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2022;464.221
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2021;398.524
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2020;334.156
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2019;355.737
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2018;331.101
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2017;319.520
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2016;301.860
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2015;286.257
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2014;283.202
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2013;285.913
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2012;304.106
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2011;344.062
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Madrid, Comunidad de;2010;407.162
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2023;77.238
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2022;67.122
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2021;58.865
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2020;56.083
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2019;64.501
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2018;53.259
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2017;51.497
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2016;50.141
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2015;51.271
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2014;49.392
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2013;46.850
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2012;53.438
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2011;70.880
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Murcia, Región de;2010;89.522
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2023;76.886
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2022;63.396
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2021;58.985
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2020;59.199
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2019;57.269
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2018;44.463
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2017;39.166
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2016;38.597
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2015;34.459
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2014;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2013;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2012;35.134
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2011;51.504
