Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2020;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2019;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2018;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2017;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2016;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2015;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2014;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2013;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2012;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2011;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2010;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2023;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2022;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2021;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2020;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2019;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2018;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2017;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2016;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2015;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2014;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2013;100,0
TOTAL;Porcentaje;1.3. Gastos financieros;2012;..
TOTAL;Porcentaje;1.3. Gastos financieros;2011;..
TOTAL;Porcentaje;1.3. Gastos financieros;2010;..
TOTAL;Porcentaje;1.4. Transferencias corrientes;2023;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2022;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2021;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2020;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2019;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2018;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2017;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2016;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2015;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2014;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2013;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2012;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2011;100,0
TOTAL;Porcentaje;1.4. Transferencias corrientes;2010;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2023;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2022;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2021;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2020;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2019;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2018;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2017;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2016;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2015;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2014;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2013;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2012;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2011;100,0
TOTAL;Porcentaje;2. GASTOS DE CAPITAL;2010;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2023;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2022;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2021;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2020;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2019;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2018;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2017;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2016;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2015;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2014;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2013;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2012;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2011;100,0
TOTAL;Porcentaje;2.1. Inversiones reales;2010;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2023;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2022;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2021;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2020;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2019;100,0
