Valores absolutos y porcentaje;Tipo de entidad;Naturaleza económica del gasto;periodo;Total
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2022;692.441
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2021;515.962
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2020;433.189
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2019;537.732
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2018;377.047
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2017;312.856
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2016;279.985
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2015;335.765
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2014;..
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2013;..
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2012;339.287
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2011;665.832
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2010;1.171.396
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2023;782.847
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2022;664.997
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2021;498.436
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2020;418.347
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2019;513.338
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2018;45.596
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2017;292.419
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2016;249.702
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2015;309.149
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2014;..
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2013;..
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2012;310.830
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2011;623.728
Valores absolutos;AYUNTAMIENTOS;Inversiones reales;2010;1.115.973
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2023;26.134
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2022;27.444
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2021;17.526
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2020;14.842
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2019;24.395
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2018;41.275
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2017;20.437
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2016;30.283
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2015;26.616
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2014;..
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2013;..
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2012;28.456
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2011;42.104
Valores absolutos;AYUNTAMIENTOS;Transferencias de capital;2010;55.423
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2023;681
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2022;734
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2021;1.130
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2020;2.192
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2019;1.602
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2018;4.321
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2017;4.373
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2016;8.085
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2015;7.960
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2014;..
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2013;..
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2012;10.189
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2011;5.905
Valores absolutos;AYUNTAMIENTOS;ACTIVOS Y PASIVOS FINANCIEROS;2010;9.433
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2023;347.153
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2022;227.343
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2021;280.270
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2020;244.152
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2019;265.349
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2018;262.569
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2017;222.770
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2016;193.894
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2015;215.972
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2014;220.743
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2013;208.593
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2012;210.820
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2011;273.104
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;TOTAL (Miles de euros);2010;313.864
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2023;232.262
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2022;199.887
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2021;179.421
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2020;155.123
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2019;171.948
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2018;180.136
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2017;156.681
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2016;143.569
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2015;139.971
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2014;144.768
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2013;140.746
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2012;136.494
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2011;156.140
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;GASTOS CORRIENTES;2010;174.842
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2023;36.449
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2022;42.820
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2021;32.708
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2020;32.378
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2019;31.595
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2018;30.111
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2017;29.756
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2016;28.945
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2015;29.067
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2014;32.401
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2013;30.378
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2012;29.422
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2011;36.196
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos de personal;2010;40.662
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2023;61.686
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2022;58.686
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2021;37.315
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2020;32.251
Valores absolutos;DIPUTACIONES, CONSEJOS Y CABILDOS;Gastos corrientes en bienes y servicios;2019;45.875
