Comunidad autónoma y tamaño del municipio;Indicador;Abonados;periodo;Total
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;18,8
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;27,7
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;26,4
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;9,3
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;17,4
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;21,1
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;9,8
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;12,8
Galicia;En % de la población total de cada colectivo;Total;2022;100
Galicia;En % de la población total de cada colectivo;Abonados o socios: Total;2022;29,1
Galicia;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;10,4
Galicia;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;19,5
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;17,9
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;5,7
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;12,3
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;14,4
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;5,0
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;9,5
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;49,1
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;16,6
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;34,3
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;32,4
