Comunidad autónoma-tamaño del municipio;Indicador;Tipo de pertenencia;Total
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;13,0
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;34,6
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;26,9
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;8,5
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;19,7
Murcia, Región de;En % de la población total de cada colectivo;Total;100
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios: Total;41,0
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios: Públicos;10,6
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios: Privados;33,5
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;30,3
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;6,1
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;25,6
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;17,2
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,5
Murcia, Región de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;5,2
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;59,8
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;14,6
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;49,6
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;44,4
Murcia, Región de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;8,0
