Federación;Comunidad autónoma;periodo;Total
Actividades Subacuáticas;Castilla-La Mancha;2012;236
Actividades Subacuáticas;Castilla-La Mancha;2011;292
Actividades Subacuáticas;Castilla-La Mancha;2010;339
Actividades Subacuáticas;Castilla-La Mancha;2009;339
Actividades Subacuáticas;Castilla-La Mancha;2008;338
Actividades Subacuáticas;Castilla-La Mancha;2007;356
Actividades Subacuáticas;Castilla-La Mancha;2006;386
Actividades Subacuáticas;Castilla-La Mancha;2005;410
Actividades Subacuáticas;Cataluña;2024;5.816
Actividades Subacuáticas;Cataluña;2023;5.452
Actividades Subacuáticas;Cataluña;2022;6.081
Actividades Subacuáticas;Cataluña;2021;5.906
Actividades Subacuáticas;Cataluña;2020;4.850
Actividades Subacuáticas;Cataluña;2019;4.777
Actividades Subacuáticas;Cataluña;2018;4.994
Actividades Subacuáticas;Cataluña;2017;4.891
Actividades Subacuáticas;Cataluña;2016;4.716
Actividades Subacuáticas;Cataluña;2015;4.924
Actividades Subacuáticas;Cataluña;2014;5.936
Actividades Subacuáticas;Cataluña;2013;5.936
Actividades Subacuáticas;Cataluña;2012;7.332
Actividades Subacuáticas;Cataluña;2011;7.853
Actividades Subacuáticas;Cataluña;2010;8.428
Actividades Subacuáticas;Cataluña;2009;9.280
Actividades Subacuáticas;Cataluña;2008;9.753
Actividades Subacuáticas;Cataluña;2007;10.555
Actividades Subacuáticas;Cataluña;2006;10.565
Actividades Subacuáticas;Cataluña;2005;10.095
Actividades Subacuáticas;Comunitat Valenciana;2024;3.479
Actividades Subacuáticas;Comunitat Valenciana;2023;3.835
Actividades Subacuáticas;Comunitat Valenciana;2022;4.107
Actividades Subacuáticas;Comunitat Valenciana;2021;4.081
Actividades Subacuáticas;Comunitat Valenciana;2020;4.199
