Federación;Categoría;Sexo;periodo;Total
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2016;15
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2015;17
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2014;12
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2013;7
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2012;24
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2011;5
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2010;13
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2009;2
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2008;2
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2007;8
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2006;1
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2005;1
Actividades Subacuáticas;Otras categorías;TOTAL;2024;23
Actividades Subacuáticas;Otras categorías;TOTAL;2023;10
Actividades Subacuáticas;Otras categorías;TOTAL;2022;5
Actividades Subacuáticas;Otras categorías;TOTAL;2021;6
Actividades Subacuáticas;Otras categorías;TOTAL;2020;0
Actividades Subacuáticas;Otras categorías;TOTAL;2019;0
Actividades Subacuáticas;Otras categorías;TOTAL;2018;0
Actividades Subacuáticas;Otras categorías;TOTAL;2017;18
Actividades Subacuáticas;Otras categorías;TOTAL;2016;0
Actividades Subacuáticas;Otras categorías;TOTAL;2015;0
Actividades Subacuáticas;Otras categorías;TOTAL;2014;20
Actividades Subacuáticas;Otras categorías;TOTAL;2013;35
Actividades Subacuáticas;Otras categorías;TOTAL;2012;22
Actividades Subacuáticas;Otras categorías;TOTAL;2011;22
Actividades Subacuáticas;Otras categorías;TOTAL;2010;9
Actividades Subacuáticas;Otras categorías;TOTAL;2009;15
Actividades Subacuáticas;Otras categorías;TOTAL;2008;38
Actividades Subacuáticas;Otras categorías;TOTAL;2007;17
Actividades Subacuáticas;Otras categorías;TOTAL;2006;7
Actividades Subacuáticas;Otras categorías;TOTAL;2005;12
Actividades Subacuáticas;Otras categorías;Hombres;2024;13
Actividades Subacuáticas;Otras categorías;Hombres;2023;5
Actividades Subacuáticas;Otras categorías;Hombres;2022;2
Actividades Subacuáticas;Otras categorías;Hombres;2021;0
Actividades Subacuáticas;Otras categorías;Hombres;2020;0
Actividades Subacuáticas;Otras categorías;Hombres;2019;0
Actividades Subacuáticas;Otras categorías;Hombres;2018;0
Actividades Subacuáticas;Otras categorías;Hombres;2017;7
Actividades Subacuáticas;Otras categorías;Hombres;2016;0
Actividades Subacuáticas;Otras categorías;Hombres;2015;0
Actividades Subacuáticas;Otras categorías;Hombres;2014;14
Actividades Subacuáticas;Otras categorías;Hombres;2013;23
Actividades Subacuáticas;Otras categorías;Hombres;2012;14
Actividades Subacuáticas;Otras categorías;Hombres;2011;8
Actividades Subacuáticas;Otras categorías;Hombres;2010;5
Actividades Subacuáticas;Otras categorías;Hombres;2009;7
Actividades Subacuáticas;Otras categorías;Hombres;2008;2
Actividades Subacuáticas;Otras categorías;Hombres;2007;10
Actividades Subacuáticas;Otras categorías;Hombres;2006;4
Actividades Subacuáticas;Otras categorías;Hombres;2005;4
Actividades Subacuáticas;Otras categorías;Mujeres;2024;10
Actividades Subacuáticas;Otras categorías;Mujeres;2023;5
Actividades Subacuáticas;Otras categorías;Mujeres;2022;3
Actividades Subacuáticas;Otras categorías;Mujeres;2021;6
Actividades Subacuáticas;Otras categorías;Mujeres;2020;0
Actividades Subacuáticas;Otras categorías;Mujeres;2019;0
Actividades Subacuáticas;Otras categorías;Mujeres;2018;0
Actividades Subacuáticas;Otras categorías;Mujeres;2017;11
Actividades Subacuáticas;Otras categorías;Mujeres;2016;0
Actividades Subacuáticas;Otras categorías;Mujeres;2015;0
Actividades Subacuáticas;Otras categorías;Mujeres;2014;6
Actividades Subacuáticas;Otras categorías;Mujeres;2013;12
Actividades Subacuáticas;Otras categorías;Mujeres;2012;8
Actividades Subacuáticas;Otras categorías;Mujeres;2011;14
Actividades Subacuáticas;Otras categorías;Mujeres;2010;4
Actividades Subacuáticas;Otras categorías;Mujeres;2009;8
Actividades Subacuáticas;Otras categorías;Mujeres;2008;36
Actividades Subacuáticas;Otras categorías;Mujeres;2007;7
Actividades Subacuáticas;Otras categorías;Mujeres;2006;3
Actividades Subacuáticas;Otras categorías;Mujeres;2005;8
Aeronáutica;TOTAL;TOTAL;2024;8
Aeronáutica;TOTAL;TOTAL;2023;9
Aeronáutica;TOTAL;TOTAL;2022;2
Aeronáutica;TOTAL;TOTAL;2021;5
Aeronáutica;TOTAL;TOTAL;2020;0
Aeronáutica;TOTAL;TOTAL;2019;2
Aeronáutica;TOTAL;TOTAL;2018;2
Aeronáutica;TOTAL;TOTAL;2017;0
Aeronáutica;TOTAL;TOTAL;2016;4
Aeronáutica;TOTAL;TOTAL;2015;22
Aeronáutica;TOTAL;TOTAL;2014;0
Aeronáutica;TOTAL;TOTAL;2013;0
Aeronáutica;TOTAL;TOTAL;2012;2
Aeronáutica;TOTAL;TOTAL;2011;3
Aeronáutica;TOTAL;TOTAL;2010;3
Aeronáutica;TOTAL;TOTAL;2009;3
Aeronáutica;TOTAL;TOTAL;2008;3
