Federación;Categoría;Sexo;periodo;Total
Deporte para Ciegos;Categoría Absoluta;TOTAL;2008;96
Deporte para Ciegos;Categoría Absoluta;TOTAL;2007;84
Deporte para Ciegos;Categoría Absoluta;TOTAL;2006;23
Deporte para Ciegos;Categoría Absoluta;TOTAL;2005;22
Deporte para Ciegos;Categoría Absoluta;Hombres;2024;31
Deporte para Ciegos;Categoría Absoluta;Hombres;2023;37
Deporte para Ciegos;Categoría Absoluta;Hombres;2022;35
Deporte para Ciegos;Categoría Absoluta;Hombres;2021;23
Deporte para Ciegos;Categoría Absoluta;Hombres;2020;9
Deporte para Ciegos;Categoría Absoluta;Hombres;2019;13
Deporte para Ciegos;Categoría Absoluta;Hombres;2018;23
Deporte para Ciegos;Categoría Absoluta;Hombres;2017;4
Deporte para Ciegos;Categoría Absoluta;Hombres;2016;21
Deporte para Ciegos;Categoría Absoluta;Hombres;2015;22
Deporte para Ciegos;Categoría Absoluta;Hombres;2014;10
Deporte para Ciegos;Categoría Absoluta;Hombres;2013;11
Deporte para Ciegos;Categoría Absoluta;Hombres;2012;30
Deporte para Ciegos;Categoría Absoluta;Hombres;2011;12
Deporte para Ciegos;Categoría Absoluta;Hombres;2010;16
Deporte para Ciegos;Categoría Absoluta;Hombres;2009;54
Deporte para Ciegos;Categoría Absoluta;Hombres;2008;62
Deporte para Ciegos;Categoría Absoluta;Hombres;2007;72
Deporte para Ciegos;Categoría Absoluta;Hombres;2006;20
Deporte para Ciegos;Categoría Absoluta;Hombres;2005;21
Deporte para Ciegos;Categoría Absoluta;Mujeres;2024;29
Deporte para Ciegos;Categoría Absoluta;Mujeres;2023;18
Deporte para Ciegos;Categoría Absoluta;Mujeres;2022;20
Deporte para Ciegos;Categoría Absoluta;Mujeres;2021;22
Deporte para Ciegos;Categoría Absoluta;Mujeres;2020;10
Deporte para Ciegos;Categoría Absoluta;Mujeres;2019;14
Deporte para Ciegos;Categoría Absoluta;Mujeres;2018;36
Deporte para Ciegos;Categoría Absoluta;Mujeres;2017;16
Deporte para Ciegos;Categoría Absoluta;Mujeres;2016;18
Deporte para Ciegos;Categoría Absoluta;Mujeres;2015;32
Deporte para Ciegos;Categoría Absoluta;Mujeres;2014;22
Deporte para Ciegos;Categoría Absoluta;Mujeres;2013;10
Deporte para Ciegos;Categoría Absoluta;Mujeres;2012;7
Deporte para Ciegos;Categoría Absoluta;Mujeres;2011;8
Deporte para Ciegos;Categoría Absoluta;Mujeres;2010;4
Deporte para Ciegos;Categoría Absoluta;Mujeres;2009;22
Deporte para Ciegos;Categoría Absoluta;Mujeres;2008;34
Deporte para Ciegos;Categoría Absoluta;Mujeres;2007;12
Deporte para Ciegos;Categoría Absoluta;Mujeres;2006;3
Deporte para Ciegos;Categoría Absoluta;Mujeres;2005;1
Deporte para Ciegos;Otras categorías;TOTAL;2024;14
Deporte para Ciegos;Otras categorías;TOTAL;2023;11
Deporte para Ciegos;Otras categorías;TOTAL;2022;26
Deporte para Ciegos;Otras categorías;TOTAL;2021;42
Deporte para Ciegos;Otras categorías;TOTAL;2020;15
Deporte para Ciegos;Otras categorías;TOTAL;2019;9
Deporte para Ciegos;Otras categorías;TOTAL;2018;20
Deporte para Ciegos;Otras categorías;TOTAL;2017;28
Deporte para Ciegos;Otras categorías;TOTAL;2016;35
Deporte para Ciegos;Otras categorías;TOTAL;2015;43
Deporte para Ciegos;Otras categorías;TOTAL;2014;20
Deporte para Ciegos;Otras categorías;TOTAL;2013;15
Deporte para Ciegos;Otras categorías;TOTAL;2012;10
Deporte para Ciegos;Otras categorías;TOTAL;2011;1
Deporte para Ciegos;Otras categorías;TOTAL;2010;5
Deporte para Ciegos;Otras categorías;TOTAL;2009;1
Deporte para Ciegos;Otras categorías;TOTAL;2008;11
Deporte para Ciegos;Otras categorías;TOTAL;2007;34
Deporte para Ciegos;Otras categorías;TOTAL;2006;15
Deporte para Ciegos;Otras categorías;TOTAL;2005;6
Deporte para Ciegos;Otras categorías;Hombres;2024;7
Deporte para Ciegos;Otras categorías;Hombres;2023;11
Deporte para Ciegos;Otras categorías;Hombres;2022;14
Deporte para Ciegos;Otras categorías;Hombres;2021;19
Deporte para Ciegos;Otras categorías;Hombres;2020;11
Deporte para Ciegos;Otras categorías;Hombres;2019;9
Deporte para Ciegos;Otras categorías;Hombres;2018;2
Deporte para Ciegos;Otras categorías;Hombres;2017;13
Deporte para Ciegos;Otras categorías;Hombres;2016;19
Deporte para Ciegos;Otras categorías;Hombres;2015;19
Deporte para Ciegos;Otras categorías;Hombres;2014;11
Deporte para Ciegos;Otras categorías;Hombres;2013;7
Deporte para Ciegos;Otras categorías;Hombres;2012;3
Deporte para Ciegos;Otras categorías;Hombres;2011;1
Deporte para Ciegos;Otras categorías;Hombres;2010;5
Deporte para Ciegos;Otras categorías;Hombres;2009;1
Deporte para Ciegos;Otras categorías;Hombres;2008;10
Deporte para Ciegos;Otras categorías;Hombres;2007;22
Deporte para Ciegos;Otras categorías;Hombres;2006;2
Deporte para Ciegos;Otras categorías;Hombres;2005;4
Deporte para Ciegos;Otras categorías;Mujeres;2024;7
Deporte para Ciegos;Otras categorías;Mujeres;2023;0
Deporte para Ciegos;Otras categorías;Mujeres;2022;12
Deporte para Ciegos;Otras categorías;Mujeres;2021;23
Deporte para Ciegos;Otras categorías;Mujeres;2020;4
Deporte para Ciegos;Otras categorías;Mujeres;2019;0
Deporte para Ciegos;Otras categorías;Mujeres;2018;18
Deporte para Ciegos;Otras categorías;Mujeres;2017;15
Deporte para Ciegos;Otras categorías;Mujeres;2016;16
Deporte para Ciegos;Otras categorías;Mujeres;2015;24
Deporte para Ciegos;Otras categorías;Mujeres;2014;9
Deporte para Ciegos;Otras categorías;Mujeres;2013;8
Deporte para Ciegos;Otras categorías;Mujeres;2012;7
Deporte para Ciegos;Otras categorías;Mujeres;2011;0
Deporte para Ciegos;Otras categorías;Mujeres;2010;0
Deporte para Ciegos;Otras categorías;Mujeres;2009;0
Deporte para Ciegos;Otras categorías;Mujeres;2008;1
Deporte para Ciegos;Otras categorías;Mujeres;2007;12
Deporte para Ciegos;Otras categorías;Mujeres;2006;13
Deporte para Ciegos;Otras categorías;Mujeres;2005;2
Deporte para Sordos;TOTAL;TOTAL;2024;14
Deporte para Sordos;TOTAL;TOTAL;2023;17
Deporte para Sordos;TOTAL;TOTAL;2022;14
Deporte para Sordos;TOTAL;TOTAL;2021;30
Deporte para Sordos;TOTAL;TOTAL;2020;11
Deporte para Sordos;TOTAL;TOTAL;2019;4
Deporte para Sordos;TOTAL;TOTAL;2018;17
Deporte para Sordos;TOTAL;TOTAL;2017;25
Deporte para Sordos;TOTAL;TOTAL;2016;11
Deporte para Sordos;TOTAL;TOTAL;2015;8
Deporte para Sordos;TOTAL;TOTAL;2014;3
Deporte para Sordos;TOTAL;TOTAL;2013;7
Deporte para Sordos;TOTAL;TOTAL;2012;1
Deporte para Sordos;TOTAL;TOTAL;2011;0
Deporte para Sordos;TOTAL;TOTAL;2010;7
Deporte para Sordos;TOTAL;TOTAL;2009;1
Deporte para Sordos;TOTAL;TOTAL;2008;3
Deporte para Sordos;TOTAL;TOTAL;2007;0
Deporte para Sordos;TOTAL;TOTAL;2006;0
Deporte para Sordos;TOTAL;TOTAL;2005;11
Deporte para Sordos;TOTAL;Hombres;2024;1
Deporte para Sordos;TOTAL;Hombres;2023;7
Deporte para Sordos;TOTAL;Hombres;2022;6
Deporte para Sordos;TOTAL;Hombres;2021;13
Deporte para Sordos;TOTAL;Hombres;2020;9
Deporte para Sordos;TOTAL;Hombres;2019;1
Deporte para Sordos;TOTAL;Hombres;2018;7
Deporte para Sordos;TOTAL;Hombres;2017;10
Deporte para Sordos;TOTAL;Hombres;2016;6
Deporte para Sordos;TOTAL;Hombres;2015;4
Deporte para Sordos;TOTAL;Hombres;2014;3
Deporte para Sordos;TOTAL;Hombres;2013;5
Deporte para Sordos;TOTAL;Hombres;2012;1
Deporte para Sordos;TOTAL;Hombres;2011;0
Deporte para Sordos;TOTAL;Hombres;2010;0
Deporte para Sordos;TOTAL;Hombres;2009;1
Deporte para Sordos;TOTAL;Hombres;2008;2
Deporte para Sordos;TOTAL;Hombres;2007;0
Deporte para Sordos;TOTAL;Hombres;2006;0
Deporte para Sordos;TOTAL;Hombres;2005;5
Deporte para Sordos;TOTAL;Mujeres;2024;13
Deporte para Sordos;TOTAL;Mujeres;2023;10
Deporte para Sordos;TOTAL;Mujeres;2022;8
Deporte para Sordos;TOTAL;Mujeres;2021;17
Deporte para Sordos;TOTAL;Mujeres;2020;2
Deporte para Sordos;TOTAL;Mujeres;2019;3
Deporte para Sordos;TOTAL;Mujeres;2018;10
Deporte para Sordos;TOTAL;Mujeres;2017;15
Deporte para Sordos;TOTAL;Mujeres;2016;5
Deporte para Sordos;TOTAL;Mujeres;2015;4
Deporte para Sordos;TOTAL;Mujeres;2014;0
Deporte para Sordos;TOTAL;Mujeres;2013;2
Deporte para Sordos;TOTAL;Mujeres;2012;0
Deporte para Sordos;TOTAL;Mujeres;2011;0
Deporte para Sordos;TOTAL;Mujeres;2010;7
Deporte para Sordos;TOTAL;Mujeres;2009;0
Deporte para Sordos;TOTAL;Mujeres;2008;1
Deporte para Sordos;TOTAL;Mujeres;2007;0
Deporte para Sordos;TOTAL;Mujeres;2006;0
Deporte para Sordos;TOTAL;Mujeres;2005;6
Deporte para Sordos;Categoría Absoluta;TOTAL;2024;14
Deporte para Sordos;Categoría Absoluta;TOTAL;2023;17
Deporte para Sordos;Categoría Absoluta;TOTAL;2022;14
Deporte para Sordos;Categoría Absoluta;TOTAL;2021;30
Deporte para Sordos;Categoría Absoluta;TOTAL;2020;11
Deporte para Sordos;Categoría Absoluta;TOTAL;2019;4
Deporte para Sordos;Categoría Absoluta;TOTAL;2018;17
Deporte para Sordos;Categoría Absoluta;TOTAL;2017;25
Deporte para Sordos;Categoría Absoluta;TOTAL;2016;11
Deporte para Sordos;Categoría Absoluta;TOTAL;2015;8
Deporte para Sordos;Categoría Absoluta;TOTAL;2014;2
Deporte para Sordos;Categoría Absoluta;TOTAL;2013;7
Deporte para Sordos;Categoría Absoluta;TOTAL;2012;0
Deporte para Sordos;Categoría Absoluta;TOTAL;2011;0
Deporte para Sordos;Categoría Absoluta;TOTAL;2010;7
Deporte para Sordos;Categoría Absoluta;TOTAL;2009;1
Deporte para Sordos;Categoría Absoluta;TOTAL;2008;3
Deporte para Sordos;Categoría Absoluta;TOTAL;2007;0
Deporte para Sordos;Categoría Absoluta;TOTAL;2006;0
Deporte para Sordos;Categoría Absoluta;TOTAL;2005;11
Deporte para Sordos;Categoría Absoluta;Hombres;2024;1
Deporte para Sordos;Categoría Absoluta;Hombres;2023;7
Deporte para Sordos;Categoría Absoluta;Hombres;2022;6
Deporte para Sordos;Categoría Absoluta;Hombres;2021;13
Deporte para Sordos;Categoría Absoluta;Hombres;2020;9
Deporte para Sordos;Categoría Absoluta;Hombres;2019;1
Deporte para Sordos;Categoría Absoluta;Hombres;2018;7
Deporte para Sordos;Categoría Absoluta;Hombres;2017;10
Deporte para Sordos;Categoría Absoluta;Hombres;2016;6
Deporte para Sordos;Categoría Absoluta;Hombres;2015;4
Deporte para Sordos;Categoría Absoluta;Hombres;2014;2
Deporte para Sordos;Categoría Absoluta;Hombres;2013;5
Deporte para Sordos;Categoría Absoluta;Hombres;2012;0
Deporte para Sordos;Categoría Absoluta;Hombres;2011;0
Deporte para Sordos;Categoría Absoluta;Hombres;2010;0
Deporte para Sordos;Categoría Absoluta;Hombres;2009;1
Deporte para Sordos;Categoría Absoluta;Hombres;2008;2
Deporte para Sordos;Categoría Absoluta;Hombres;2007;0
Deporte para Sordos;Categoría Absoluta;Hombres;2006;0
Deporte para Sordos;Categoría Absoluta;Hombres;2005;5
Deporte para Sordos;Categoría Absoluta;Mujeres;2024;13
Deporte para Sordos;Categoría Absoluta;Mujeres;2023;10
Deporte para Sordos;Categoría Absoluta;Mujeres;2022;8
Deporte para Sordos;Categoría Absoluta;Mujeres;2021;17
Deporte para Sordos;Categoría Absoluta;Mujeres;2020;2
Deporte para Sordos;Categoría Absoluta;Mujeres;2019;3
Deporte para Sordos;Categoría Absoluta;Mujeres;2018;10
Deporte para Sordos;Categoría Absoluta;Mujeres;2017;15
Deporte para Sordos;Categoría Absoluta;Mujeres;2016;5
Deporte para Sordos;Categoría Absoluta;Mujeres;2015;4
Deporte para Sordos;Categoría Absoluta;Mujeres;2014;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2013;2
Deporte para Sordos;Categoría Absoluta;Mujeres;2012;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2011;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2010;7
Deporte para Sordos;Categoría Absoluta;Mujeres;2009;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2008;1
Deporte para Sordos;Categoría Absoluta;Mujeres;2007;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2006;0
Deporte para Sordos;Categoría Absoluta;Mujeres;2005;6
Deporte para Sordos;Otras categorías;TOTAL;2024;0
Deporte para Sordos;Otras categorías;TOTAL;2023;0
Deporte para Sordos;Otras categorías;TOTAL;2022;0
Deporte para Sordos;Otras categorías;TOTAL;2021;0
Deporte para Sordos;Otras categorías;TOTAL;2020;0
Deporte para Sordos;Otras categorías;TOTAL;2019;0
Deporte para Sordos;Otras categorías;TOTAL;2018;0
Deporte para Sordos;Otras categorías;TOTAL;2017;0
Deporte para Sordos;Otras categorías;TOTAL;2016;0
Deporte para Sordos;Otras categorías;TOTAL;2015;0
Deporte para Sordos;Otras categorías;TOTAL;2014;1
Deporte para Sordos;Otras categorías;TOTAL;2013;0
Deporte para Sordos;Otras categorías;TOTAL;2012;1
Deporte para Sordos;Otras categorías;TOTAL;2011;0
Deporte para Sordos;Otras categorías;TOTAL;2010;0
Deporte para Sordos;Otras categorías;TOTAL;2009;0
Deporte para Sordos;Otras categorías;TOTAL;2008;0
Deporte para Sordos;Otras categorías;TOTAL;2007;0
Deporte para Sordos;Otras categorías;TOTAL;2006;0
Deporte para Sordos;Otras categorías;TOTAL;2005;0
Deporte para Sordos;Otras categorías;Hombres;2024;0
Deporte para Sordos;Otras categorías;Hombres;2023;0
Deporte para Sordos;Otras categorías;Hombres;2022;0
Deporte para Sordos;Otras categorías;Hombres;2021;0
Deporte para Sordos;Otras categorías;Hombres;2020;0
Deporte para Sordos;Otras categorías;Hombres;2019;0
Deporte para Sordos;Otras categorías;Hombres;2018;0
Deporte para Sordos;Otras categorías;Hombres;2017;0
Deporte para Sordos;Otras categorías;Hombres;2016;0
Deporte para Sordos;Otras categorías;Hombres;2015;0
Deporte para Sordos;Otras categorías;Hombres;2014;1
Deporte para Sordos;Otras categorías;Hombres;2013;0
Deporte para Sordos;Otras categorías;Hombres;2012;1
Deporte para Sordos;Otras categorías;Hombres;2011;0
Deporte para Sordos;Otras categorías;Hombres;2010;0
Deporte para Sordos;Otras categorías;Hombres;2009;0
Deporte para Sordos;Otras categorías;Hombres;2008;0
Deporte para Sordos;Otras categorías;Hombres;2007;0
Deporte para Sordos;Otras categorías;Hombres;2006;0
Deporte para Sordos;Otras categorías;Hombres;2005;0
Deporte para Sordos;Otras categorías;Mujeres;2024;0
Deporte para Sordos;Otras categorías;Mujeres;2023;0
Deporte para Sordos;Otras categorías;Mujeres;2022;0
Deporte para Sordos;Otras categorías;Mujeres;2021;0
Deporte para Sordos;Otras categorías;Mujeres;2020;0
Deporte para Sordos;Otras categorías;Mujeres;2019;0
Deporte para Sordos;Otras categorías;Mujeres;2018;0
Deporte para Sordos;Otras categorías;Mujeres;2017;0
Deporte para Sordos;Otras categorías;Mujeres;2016;0
Deporte para Sordos;Otras categorías;Mujeres;2015;0
Deporte para Sordos;Otras categorías;Mujeres;2014;0
Deporte para Sordos;Otras categorías;Mujeres;2013;0
Deporte para Sordos;Otras categorías;Mujeres;2012;0
Deporte para Sordos;Otras categorías;Mujeres;2011;0
Deporte para Sordos;Otras categorías;Mujeres;2010;0
Deporte para Sordos;Otras categorías;Mujeres;2009;0
Deporte para Sordos;Otras categorías;Mujeres;2008;0
Deporte para Sordos;Otras categorías;Mujeres;2007;0
Deporte para Sordos;Otras categorías;Mujeres;2006;0
Deporte para Sordos;Otras categorías;Mujeres;2005;0
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2024;23
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2023;18
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2022;18
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2021;26
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2020;10
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2019;15
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2018;14
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2017;15
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2016;17
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2015;13
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2014;29
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2013;14
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2012;14
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2011;9
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2010;12
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2009;9
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2008;12
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2007;11
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2006;7
Deporte Parálisis Cerebral y DCA;TOTAL;TOTAL;2005;13
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2024;9
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2023;10
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2022;8
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2021;10
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2020;3
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2019;11
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2018;8
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2017;8
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2016;9
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2015;7
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2014;16
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2013;9
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2012;10
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2011;8
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2010;9
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2009;7
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2008;7
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2007;8
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2006;5
Deporte Parálisis Cerebral y DCA;TOTAL;Hombres;2005;8
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2024;14
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2023;8
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2022;10
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2021;16
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2020;7
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2019;4
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2018;6
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2017;7
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2016;8
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2015;6
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2014;13
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2013;5
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2012;4
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2011;1
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2010;3
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2009;2
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2008;5
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2007;3
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2006;2
Deporte Parálisis Cerebral y DCA;TOTAL;Mujeres;2005;5
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2024;23
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2023;18
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2022;18
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2021;26
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2020;10
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2019;15
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2018;14
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2017;15
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2016;17
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2015;13
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2014;29
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2013;14
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2012;14
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2011;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2010;12
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2009;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2008;12
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2007;11
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2006;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;TOTAL;2005;13
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2024;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2023;10
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2022;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2021;10
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2020;3
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2019;11
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2018;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2017;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2016;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2015;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2014;16
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2013;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2012;10
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2011;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2010;9
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2009;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2008;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2007;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2006;5
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Hombres;2005;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2024;14
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2023;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2022;10
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2021;16
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2020;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2019;4
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2018;6
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2017;7
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2016;8
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2015;6
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2014;13
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2013;5
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2012;4
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2011;1
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2010;3
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2009;2
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2008;5
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2007;3
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2006;2
Deporte Parálisis Cerebral y DCA;Categoría Absoluta;Mujeres;2005;5
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2024;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2023;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2022;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2021;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2020;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2019;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2018;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2017;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2016;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2015;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2014;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2013;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2012;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2011;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2010;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2009;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2008;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2007;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2006;0
Deporte Parálisis Cerebral y DCA;Otras categorías;TOTAL;2005;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2024;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2023;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2022;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2021;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2020;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2019;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2018;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2017;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2016;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2015;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2014;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2013;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2012;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2011;0
