Federación;Competiciones;periodo;Total
Actividades Subacuáticas;Competiciones estatales: Otros;2023;6
Actividades Subacuáticas;Competiciones estatales: Otros;2022;8
Actividades Subacuáticas;Competiciones estatales: Otros;2021;5
Actividades Subacuáticas;Competiciones estatales: Otros;2020;0
Actividades Subacuáticas;Competiciones estatales: Otros;2019;1
Actividades Subacuáticas;Competiciones estatales: Otros;2018;1
Actividades Subacuáticas;Competiciones estatales: Otros;2017;1
Actividades Subacuáticas;Competiciones estatales: Otros;2016;1
Actividades Subacuáticas;Competiciones estatales: Otros;2015;1
Actividades Subacuáticas;Competiciones estatales: Otros;2014;1
Actividades Subacuáticas;Competiciones estatales: Otros;2013;1
Actividades Subacuáticas;Competiciones estatales: Otros;2012;4
Actividades Subacuáticas;Competiciones estatales: Otros;2011;4
Actividades Subacuáticas;Competiciones estatales: Otros;2010;6
Actividades Subacuáticas;Competiciones estatales: Otros;2009;4
Actividades Subacuáticas;Competiciones estatales: Otros;2008;4
Actividades Subacuáticas;Competiciones estatales: Otros;2007;4
Actividades Subacuáticas;Competiciones estatales: Otros;2006;4
Actividades Subacuáticas;Competiciones estatales: Otros;2005;4
Actividades Subacuáticas;Competiciones internacionales: Total;2024;12
Actividades Subacuáticas;Competiciones internacionales: Total;2023;13
Actividades Subacuáticas;Competiciones internacionales: Total;2022;11
Actividades Subacuáticas;Competiciones internacionales: Total;2021;11
Actividades Subacuáticas;Competiciones internacionales: Total;2020;1
Actividades Subacuáticas;Competiciones internacionales: Total;2019;10
Actividades Subacuáticas;Competiciones internacionales: Total;2018;11
Actividades Subacuáticas;Competiciones internacionales: Total;2017;11
Actividades Subacuáticas;Competiciones internacionales: Total;2016;11
Actividades Subacuáticas;Competiciones internacionales: Total;2015;11
Actividades Subacuáticas;Competiciones internacionales: Total;2014;11
Actividades Subacuáticas;Competiciones internacionales: Total;2013;8
Actividades Subacuáticas;Competiciones internacionales: Total;2012;23
Actividades Subacuáticas;Competiciones internacionales: Total;2011;26
Actividades Subacuáticas;Competiciones internacionales: Total;2010;27
Actividades Subacuáticas;Competiciones internacionales: Total;2009;18
Actividades Subacuáticas;Competiciones internacionales: Total;2008;22
Actividades Subacuáticas;Competiciones internacionales: Total;2007;13
Actividades Subacuáticas;Competiciones internacionales: Total;2006;13
Actividades Subacuáticas;Competiciones internacionales: Total;2005;14
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2024;7
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2023;8
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2022;4
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2021;7
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2020;0
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2019;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2018;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2017;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2016;6
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2015;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2014;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2013;4
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2012;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2011;6
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2010;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2009;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2008;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2007;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2006;5
