Federación;Competiciones;periodo;Total
Squash;Competiciones internacionales: Otros;2005;66
Surfing;TOTAL;2024;44
Surfing;TOTAL;2023;52
Surfing;TOTAL;2022;63
Surfing;TOTAL;2021;45
Surfing;TOTAL;2020;55
Surfing;TOTAL;2019;184
Surfing;TOTAL;2018;183
Surfing;TOTAL;2017;165
Surfing;TOTAL;2016;105
Surfing;TOTAL;2015;101
Surfing;TOTAL;2014;99
Surfing;TOTAL;2013;111
Surfing;TOTAL;2012;113
Surfing;TOTAL;2011;13
Surfing;TOTAL;2010;11
Surfing;TOTAL;2009;7
Surfing;TOTAL;2008;12
Surfing;TOTAL;2007;16
Surfing;TOTAL;2006;12
Surfing;TOTAL;2005;13
Surfing;Competiciones estatales: Total;2024;35
Surfing;Competiciones estatales: Total;2023;27
Surfing;Competiciones estatales: Total;2022;17
Surfing;Competiciones estatales: Total;2021;13
Surfing;Competiciones estatales: Total;2020;13
Surfing;Competiciones estatales: Total;2019;15
Surfing;Competiciones estatales: Total;2018;14
Surfing;Competiciones estatales: Total;2017;14
Surfing;Competiciones estatales: Total;2016;14
Surfing;Competiciones estatales: Total;2015;14
Surfing;Competiciones estatales: Total;2014;13
Surfing;Competiciones estatales: Total;2013;13
Surfing;Competiciones estatales: Total;2012;9
Surfing;Competiciones estatales: Total;2011;8
Surfing;Competiciones estatales: Total;2010;8
Surfing;Competiciones estatales: Total;2009;6
Surfing;Competiciones estatales: Total;2008;8
Surfing;Competiciones estatales: Total;2007;12
Surfing;Competiciones estatales: Total;2006;9
Surfing;Competiciones estatales: Total;2005;12
Surfing;Competiciones estatales: Ligas;2024;15
Surfing;Competiciones estatales: Ligas;2023;11
Surfing;Competiciones estatales: Ligas;2022;10
Surfing;Competiciones estatales: Ligas;2021;10
Surfing;Competiciones estatales: Ligas;2020;10
Surfing;Competiciones estatales: Ligas;2019;10
Surfing;Competiciones estatales: Ligas;2018;10
Surfing;Competiciones estatales: Ligas;2017;10
Surfing;Competiciones estatales: Ligas;2016;10
Surfing;Competiciones estatales: Ligas;2015;10
Surfing;Competiciones estatales: Ligas;2014;10
Surfing;Competiciones estatales: Ligas;2013;10
Surfing;Competiciones estatales: Ligas;2012;6
Surfing;Competiciones estatales: Ligas;2011;6
Surfing;Competiciones estatales: Ligas;2010;6
Surfing;Competiciones estatales: Ligas;2009;5
Surfing;Competiciones estatales: Ligas;2008;4
Surfing;Competiciones estatales: Ligas;2007;8
Surfing;Competiciones estatales: Ligas;2006;6
Surfing;Competiciones estatales: Ligas;2005;9
Surfing;Competiciones estatales: Campeonatos de España;2024;20
Surfing;Competiciones estatales: Campeonatos de España;2023;16
Surfing;Competiciones estatales: Campeonatos de España;2022;7
Surfing;Competiciones estatales: Campeonatos de España;2021;3
Surfing;Competiciones estatales: Campeonatos de España;2020;3
Surfing;Competiciones estatales: Campeonatos de España;2019;5
Surfing;Competiciones estatales: Campeonatos de España;2018;4
Surfing;Competiciones estatales: Campeonatos de España;2017;4
Surfing;Competiciones estatales: Campeonatos de España;2016;4
Surfing;Competiciones estatales: Campeonatos de España;2015;4
Surfing;Competiciones estatales: Campeonatos de España;2014;3
Surfing;Competiciones estatales: Campeonatos de España;2013;3
Surfing;Competiciones estatales: Campeonatos de España;2012;3
Surfing;Competiciones estatales: Campeonatos de España;2011;1
Surfing;Competiciones estatales: Campeonatos de España;2010;1
Surfing;Competiciones estatales: Campeonatos de España;2009;1
Surfing;Competiciones estatales: Campeonatos de España;2008;4
Surfing;Competiciones estatales: Campeonatos de España;2007;4
Surfing;Competiciones estatales: Campeonatos de España;2006;3
Surfing;Competiciones estatales: Campeonatos de España;2005;3
Surfing;Competiciones estatales: Otros;2024;0
Surfing;Competiciones estatales: Otros;2023;0
Surfing;Competiciones estatales: Otros;2022;0
Surfing;Competiciones estatales: Otros;2021;0
Surfing;Competiciones estatales: Otros;2020;0
Surfing;Competiciones estatales: Otros;2019;0
Surfing;Competiciones estatales: Otros;2018;0
Surfing;Competiciones estatales: Otros;2017;0
Surfing;Competiciones estatales: Otros;2016;0
Surfing;Competiciones estatales: Otros;2015;0
Surfing;Competiciones estatales: Otros;2014;0
Surfing;Competiciones estatales: Otros;2013;0
Surfing;Competiciones estatales: Otros;2012;0
Surfing;Competiciones estatales: Otros;2011;1
Surfing;Competiciones estatales: Otros;2010;1
Surfing;Competiciones estatales: Otros;2009;0
Surfing;Competiciones estatales: Otros;2008;0
Surfing;Competiciones estatales: Otros;2007;0
Surfing;Competiciones estatales: Otros;2006;0
Surfing;Competiciones estatales: Otros;2005;0
Surfing;Competiciones internacionales: Total;2024;9
Surfing;Competiciones internacionales: Total;2023;25
Surfing;Competiciones internacionales: Total;2022;46
Surfing;Competiciones internacionales: Total;2021;32
Surfing;Competiciones internacionales: Total;2020;42
Surfing;Competiciones internacionales: Total;2019;169
Surfing;Competiciones internacionales: Total;2018;169
Surfing;Competiciones internacionales: Total;2017;151
Surfing;Competiciones internacionales: Total;2016;91
Surfing;Competiciones internacionales: Total;2015;87
Surfing;Competiciones internacionales: Total;2014;86
Surfing;Competiciones internacionales: Total;2013;98
Surfing;Competiciones internacionales: Total;2012;104
Surfing;Competiciones internacionales: Total;2011;5
Surfing;Competiciones internacionales: Total;2010;3
Surfing;Competiciones internacionales: Total;2009;1
Surfing;Competiciones internacionales: Total;2008;4
Surfing;Competiciones internacionales: Total;2007;4
Surfing;Competiciones internacionales: Total;2006;3
Surfing;Competiciones internacionales: Total;2005;1
Surfing;Competiciones internacionales: Campeonatos del mundo;2024;7
Surfing;Competiciones internacionales: Campeonatos del mundo;2023;5
Surfing;Competiciones internacionales: Campeonatos del mundo;2022;5
Surfing;Competiciones internacionales: Campeonatos del mundo;2021;2
Surfing;Competiciones internacionales: Campeonatos del mundo;2020;2
Surfing;Competiciones internacionales: Campeonatos del mundo;2019;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2018;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2017;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2016;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2015;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2014;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2013;9
Surfing;Competiciones internacionales: Campeonatos del mundo;2012;2
Surfing;Competiciones internacionales: Campeonatos del mundo;2011;2
Surfing;Competiciones internacionales: Campeonatos del mundo;2010;2
Surfing;Competiciones internacionales: Campeonatos del mundo;2009;0
Surfing;Competiciones internacionales: Campeonatos del mundo;2008;1
Surfing;Competiciones internacionales: Campeonatos del mundo;2007;3
Surfing;Competiciones internacionales: Campeonatos del mundo;2006;1
Surfing;Competiciones internacionales: Campeonatos del mundo;2005;0
Surfing;Competiciones internacionales: Campeonatos de Europa;2024;2
Surfing;Competiciones internacionales: Campeonatos de Europa;2023;3
Surfing;Competiciones internacionales: Campeonatos de Europa;2022;3
Surfing;Competiciones internacionales: Campeonatos de Europa;2021;0
Surfing;Competiciones internacionales: Campeonatos de Europa;2020;0
Surfing;Competiciones internacionales: Campeonatos de Europa;2019;3
Surfing;Competiciones internacionales: Campeonatos de Europa;2018;3
Surfing;Competiciones internacionales: Campeonatos de Europa;2017;2
Surfing;Competiciones internacionales: Campeonatos de Europa;2016;2
Surfing;Competiciones internacionales: Campeonatos de Europa;2015;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2014;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2013;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2012;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2011;3
Surfing;Competiciones internacionales: Campeonatos de Europa;2010;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2009;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2008;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2007;1
Surfing;Competiciones internacionales: Campeonatos de Europa;2006;2
Surfing;Competiciones internacionales: Campeonatos de Europa;2005;1
Surfing;Competiciones internacionales: Otros;2024;0
Surfing;Competiciones internacionales: Otros;2023;17
Surfing;Competiciones internacionales: Otros;2022;38
Surfing;Competiciones internacionales: Otros;2021;30
Surfing;Competiciones internacionales: Otros;2020;40
Surfing;Competiciones internacionales: Otros;2019;157
Surfing;Competiciones internacionales: Otros;2018;157
Surfing;Competiciones internacionales: Otros;2017;140
Surfing;Competiciones internacionales: Otros;2016;80
Surfing;Competiciones internacionales: Otros;2015;77
Surfing;Competiciones internacionales: Otros;2014;76
Surfing;Competiciones internacionales: Otros;2013;88
Surfing;Competiciones internacionales: Otros;2012;101
Surfing;Competiciones internacionales: Otros;2011;0
Surfing;Competiciones internacionales: Otros;2010;0
Surfing;Competiciones internacionales: Otros;2009;0
Surfing;Competiciones internacionales: Otros;2008;2
Surfing;Competiciones internacionales: Otros;2007;0
Surfing;Competiciones internacionales: Otros;2006;0
Surfing;Competiciones internacionales: Otros;2005;0
Taekwondo;TOTAL;2024;38
Taekwondo;TOTAL;2023;46
Taekwondo;TOTAL;2022;39
Taekwondo;TOTAL;2021;32
Taekwondo;TOTAL;2020;8
Taekwondo;TOTAL;2019;49
Taekwondo;TOTAL;2018;39
Taekwondo;TOTAL;2017;38
Taekwondo;TOTAL;2016;30
Taekwondo;TOTAL;2015;41
Taekwondo;TOTAL;2014;45
Taekwondo;TOTAL;2013;52
Taekwondo;TOTAL;2012;46
Taekwondo;TOTAL;2011;61
Taekwondo;TOTAL;2010;70
Taekwondo;TOTAL;2009;57
Taekwondo;TOTAL;2008;39
Taekwondo;TOTAL;2007;27
Taekwondo;TOTAL;2006;25
Taekwondo;TOTAL;2005;18
Taekwondo;Competiciones estatales: Total;2024;12
Taekwondo;Competiciones estatales: Total;2023;10
Taekwondo;Competiciones estatales: Total;2022;4
Taekwondo;Competiciones estatales: Total;2021;8
Taekwondo;Competiciones estatales: Total;2020;2
Taekwondo;Competiciones estatales: Total;2019;18
Taekwondo;Competiciones estatales: Total;2018;10
Taekwondo;Competiciones estatales: Total;2017;10
Taekwondo;Competiciones estatales: Total;2016;10
Taekwondo;Competiciones estatales: Total;2015;21
Taekwondo;Competiciones estatales: Total;2014;22
Taekwondo;Competiciones estatales: Total;2013;27
Taekwondo;Competiciones estatales: Total;2012;27
Taekwondo;Competiciones estatales: Total;2011;31
Taekwondo;Competiciones estatales: Total;2010;31
Taekwondo;Competiciones estatales: Total;2009;16
Taekwondo;Competiciones estatales: Total;2008;22
Taekwondo;Competiciones estatales: Total;2007;7
Taekwondo;Competiciones estatales: Total;2006;9
Taekwondo;Competiciones estatales: Total;2005;8
Taekwondo;Competiciones estatales: Ligas;2024;1
Taekwondo;Competiciones estatales: Ligas;2023;0
Taekwondo;Competiciones estatales: Ligas;2022;0
Taekwondo;Competiciones estatales: Ligas;2021;0
Taekwondo;Competiciones estatales: Ligas;2020;0
Taekwondo;Competiciones estatales: Ligas;2019;8
Taekwondo;Competiciones estatales: Ligas;2018;0
Taekwondo;Competiciones estatales: Ligas;2017;0
Taekwondo;Competiciones estatales: Ligas;2016;0
Taekwondo;Competiciones estatales: Ligas;2015;0
Taekwondo;Competiciones estatales: Ligas;2014;0
Taekwondo;Competiciones estatales: Ligas;2013;0
Taekwondo;Competiciones estatales: Ligas;2012;0
Taekwondo;Competiciones estatales: Ligas;2011;0
Taekwondo;Competiciones estatales: Ligas;2010;0
Taekwondo;Competiciones estatales: Ligas;2009;0
Taekwondo;Competiciones estatales: Ligas;2008;2
Taekwondo;Competiciones estatales: Ligas;2007;0
Taekwondo;Competiciones estatales: Ligas;2006;0
Taekwondo;Competiciones estatales: Ligas;2005;0
Taekwondo;Competiciones estatales: Campeonatos de España;2024;9
Taekwondo;Competiciones estatales: Campeonatos de España;2023;9
Taekwondo;Competiciones estatales: Campeonatos de España;2022;2
Taekwondo;Competiciones estatales: Campeonatos de España;2021;2
Taekwondo;Competiciones estatales: Campeonatos de España;2020;2
Taekwondo;Competiciones estatales: Campeonatos de España;2019;10
Taekwondo;Competiciones estatales: Campeonatos de España;2018;10
Taekwondo;Competiciones estatales: Campeonatos de España;2017;10
Taekwondo;Competiciones estatales: Campeonatos de España;2016;10
Taekwondo;Competiciones estatales: Campeonatos de España;2015;21
Taekwondo;Competiciones estatales: Campeonatos de España;2014;21
Taekwondo;Competiciones estatales: Campeonatos de España;2013;21
Taekwondo;Competiciones estatales: Campeonatos de España;2012;21
Taekwondo;Competiciones estatales: Campeonatos de España;2011;23
Taekwondo;Competiciones estatales: Campeonatos de España;2010;23
Taekwondo;Competiciones estatales: Campeonatos de España;2009;8
Taekwondo;Competiciones estatales: Campeonatos de España;2008;6
Taekwondo;Competiciones estatales: Campeonatos de España;2007;5
Taekwondo;Competiciones estatales: Campeonatos de España;2006;7
Taekwondo;Competiciones estatales: Campeonatos de España;2005;5
Taekwondo;Competiciones estatales: Otros;2024;2
Taekwondo;Competiciones estatales: Otros;2023;1
Taekwondo;Competiciones estatales: Otros;2022;2
Taekwondo;Competiciones estatales: Otros;2021;6
Taekwondo;Competiciones estatales: Otros;2020;0
Taekwondo;Competiciones estatales: Otros;2019;0
Taekwondo;Competiciones estatales: Otros;2018;0
Taekwondo;Competiciones estatales: Otros;2017;0
Taekwondo;Competiciones estatales: Otros;2016;0
Taekwondo;Competiciones estatales: Otros;2015;0
Taekwondo;Competiciones estatales: Otros;2014;1
Taekwondo;Competiciones estatales: Otros;2013;6
Taekwondo;Competiciones estatales: Otros;2012;6
Taekwondo;Competiciones estatales: Otros;2011;8
Taekwondo;Competiciones estatales: Otros;2010;8
Taekwondo;Competiciones estatales: Otros;2009;8
Taekwondo;Competiciones estatales: Otros;2008;14
Taekwondo;Competiciones estatales: Otros;2007;2
Taekwondo;Competiciones estatales: Otros;2006;2
Taekwondo;Competiciones estatales: Otros;2005;3
Taekwondo;Competiciones internacionales: Total;2024;26
Taekwondo;Competiciones internacionales: Total;2023;36
Taekwondo;Competiciones internacionales: Total;2022;35
Taekwondo;Competiciones internacionales: Total;2021;24
Taekwondo;Competiciones internacionales: Total;2020;6
Taekwondo;Competiciones internacionales: Total;2019;31
Taekwondo;Competiciones internacionales: Total;2018;29
Taekwondo;Competiciones internacionales: Total;2017;28
Taekwondo;Competiciones internacionales: Total;2016;20
Taekwondo;Competiciones internacionales: Total;2015;20
Taekwondo;Competiciones internacionales: Total;2014;23
Taekwondo;Competiciones internacionales: Total;2013;25
Taekwondo;Competiciones internacionales: Total;2012;19
Taekwondo;Competiciones internacionales: Total;2011;30
Taekwondo;Competiciones internacionales: Total;2010;39
Taekwondo;Competiciones internacionales: Total;2009;41
Taekwondo;Competiciones internacionales: Total;2008;17
Taekwondo;Competiciones internacionales: Total;2007;20
Taekwondo;Competiciones internacionales: Total;2006;16
Taekwondo;Competiciones internacionales: Total;2005;10
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2024;4
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2023;2
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2022;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2021;0
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2020;0
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2019;2
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2018;2
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2017;1
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2016;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2015;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2014;4
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2013;6
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2012;4
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2011;6
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2010;9
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2009;7
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2008;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2007;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2006;3
Taekwondo;Competiciones internacionales: Campeonatos del mundo;2005;1
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2024;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2023;8
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2022;5
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2021;5
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2020;1
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2019;6
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2018;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2017;2
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2016;2
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2015;2
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2014;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2013;10
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2012;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2011;8
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2010;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2009;10
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2008;4
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2007;3
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2006;1
Taekwondo;Competiciones internacionales: Campeonatos de Europa;2005;4
Taekwondo;Competiciones internacionales: Otros;2024;18
Taekwondo;Competiciones internacionales: Otros;2023;26
Taekwondo;Competiciones internacionales: Otros;2022;27
Taekwondo;Competiciones internacionales: Otros;2021;19
Taekwondo;Competiciones internacionales: Otros;2020;5
Taekwondo;Competiciones internacionales: Otros;2019;23
Taekwondo;Competiciones internacionales: Otros;2018;23
Taekwondo;Competiciones internacionales: Otros;2017;25
Taekwondo;Competiciones internacionales: Otros;2016;15
Taekwondo;Competiciones internacionales: Otros;2015;15
Taekwondo;Competiciones internacionales: Otros;2014;15
Taekwondo;Competiciones internacionales: Otros;2013;9
Taekwondo;Competiciones internacionales: Otros;2012;11
Taekwondo;Competiciones internacionales: Otros;2011;16
Taekwondo;Competiciones internacionales: Otros;2010;26
Taekwondo;Competiciones internacionales: Otros;2009;24
Taekwondo;Competiciones internacionales: Otros;2008;10
Taekwondo;Competiciones internacionales: Otros;2007;14
Taekwondo;Competiciones internacionales: Otros;2006;12
Taekwondo;Competiciones internacionales: Otros;2005;5
Tenis;TOTAL;2024;35
Tenis;TOTAL;2023;32
Tenis;TOTAL;2022;29
Tenis;TOTAL;2021;29
Tenis;TOTAL;2020;11
Tenis;TOTAL;2019;32
Tenis;TOTAL;2018;34
Tenis;TOTAL;2017;33
Tenis;TOTAL;2016;32
Tenis;TOTAL;2015;45
Tenis;TOTAL;2014;38
Tenis;TOTAL;2013;33
Tenis;TOTAL;2012;39
Tenis;TOTAL;2011;340
Tenis;TOTAL;2010;97
Tenis;TOTAL;2009;79
Tenis;TOTAL;2008;80
Tenis;TOTAL;2007;27
Tenis;TOTAL;2006;88
Tenis;TOTAL;2005;113
Tenis;Competiciones estatales: Total;2024;15
Tenis;Competiciones estatales: Total;2023;14
Tenis;Competiciones estatales: Total;2022;14
Tenis;Competiciones estatales: Total;2021;14
Tenis;Competiciones estatales: Total;2020;7
Tenis;Competiciones estatales: Total;2019;11
Tenis;Competiciones estatales: Total;2018;11
Tenis;Competiciones estatales: Total;2017;12
Tenis;Competiciones estatales: Total;2016;12
Tenis;Competiciones estatales: Total;2015;18
Tenis;Competiciones estatales: Total;2014;18
Tenis;Competiciones estatales: Total;2013;22
Tenis;Competiciones estatales: Total;2012;20
Tenis;Competiciones estatales: Total;2011;72
Tenis;Competiciones estatales: Total;2010;65
Tenis;Competiciones estatales: Total;2009;59
Tenis;Competiciones estatales: Total;2008;61
Tenis;Competiciones estatales: Total;2007;12
Tenis;Competiciones estatales: Total;2006;57
Tenis;Competiciones estatales: Total;2005;67
Tenis;Competiciones estatales: Ligas;2024;0
Tenis;Competiciones estatales: Ligas;2023;0
Tenis;Competiciones estatales: Ligas;2022;0
Tenis;Competiciones estatales: Ligas;2021;0
Tenis;Competiciones estatales: Ligas;2020;0
Tenis;Competiciones estatales: Ligas;2019;0
Tenis;Competiciones estatales: Ligas;2018;0
Tenis;Competiciones estatales: Ligas;2017;0
Tenis;Competiciones estatales: Ligas;2016;0
Tenis;Competiciones estatales: Ligas;2015;0
Tenis;Competiciones estatales: Ligas;2014;0
Tenis;Competiciones estatales: Ligas;2013;0
Tenis;Competiciones estatales: Ligas;2012;0
Tenis;Competiciones estatales: Ligas;2011;0
Tenis;Competiciones estatales: Ligas;2010;12
Tenis;Competiciones estatales: Ligas;2009;0
Tenis;Competiciones estatales: Ligas;2008;0
Tenis;Competiciones estatales: Ligas;2007;0
Tenis;Competiciones estatales: Ligas;2006;43
Tenis;Competiciones estatales: Ligas;2005;43
Tenis;Competiciones estatales: Campeonatos de España;2024;15
Tenis;Competiciones estatales: Campeonatos de España;2023;14
Tenis;Competiciones estatales: Campeonatos de España;2022;14
Tenis;Competiciones estatales: Campeonatos de España;2021;14
Tenis;Competiciones estatales: Campeonatos de España;2020;7
Tenis;Competiciones estatales: Campeonatos de España;2019;11
Tenis;Competiciones estatales: Campeonatos de España;2018;11
Tenis;Competiciones estatales: Campeonatos de España;2017;12
Tenis;Competiciones estatales: Campeonatos de España;2016;12
Tenis;Competiciones estatales: Campeonatos de España;2015;18
Tenis;Competiciones estatales: Campeonatos de España;2014;18
Tenis;Competiciones estatales: Campeonatos de España;2013;18
Tenis;Competiciones estatales: Campeonatos de España;2012;18
Tenis;Competiciones estatales: Campeonatos de España;2011;14
Tenis;Competiciones estatales: Campeonatos de España;2010;0
Tenis;Competiciones estatales: Campeonatos de España;2009;11
Tenis;Competiciones estatales: Campeonatos de España;2008;11
Tenis;Competiciones estatales: Campeonatos de España;2007;11
Tenis;Competiciones estatales: Campeonatos de España;2006;11
Tenis;Competiciones estatales: Campeonatos de España;2005;23
Tenis;Competiciones estatales: Otros;2024;0
Tenis;Competiciones estatales: Otros;2023;0
Tenis;Competiciones estatales: Otros;2022;0
Tenis;Competiciones estatales: Otros;2021;0
Tenis;Competiciones estatales: Otros;2020;0
Tenis;Competiciones estatales: Otros;2019;0
Tenis;Competiciones estatales: Otros;2018;0
Tenis;Competiciones estatales: Otros;2017;0
Tenis;Competiciones estatales: Otros;2016;0
Tenis;Competiciones estatales: Otros;2015;0
Tenis;Competiciones estatales: Otros;2014;0
Tenis;Competiciones estatales: Otros;2013;4
Tenis;Competiciones estatales: Otros;2012;2
Tenis;Competiciones estatales: Otros;2011;58
Tenis;Competiciones estatales: Otros;2010;53
Tenis;Competiciones estatales: Otros;2009;48
Tenis;Competiciones estatales: Otros;2008;50
Tenis;Competiciones estatales: Otros;2007;1
Tenis;Competiciones estatales: Otros;2006;3
Tenis;Competiciones estatales: Otros;2005;1
Tenis;Competiciones internacionales: Total;2024;20
Tenis;Competiciones internacionales: Total;2023;18
Tenis;Competiciones internacionales: Total;2022;15
Tenis;Competiciones internacionales: Total;2021;15
Tenis;Competiciones internacionales: Total;2020;4
Tenis;Competiciones internacionales: Total;2019;21
Tenis;Competiciones internacionales: Total;2018;23
Tenis;Competiciones internacionales: Total;2017;21
Tenis;Competiciones internacionales: Total;2016;20
Tenis;Competiciones internacionales: Total;2015;27
Tenis;Competiciones internacionales: Total;2014;20
Tenis;Competiciones internacionales: Total;2013;11
Tenis;Competiciones internacionales: Total;2012;19
Tenis;Competiciones internacionales: Total;2011;268
Tenis;Competiciones internacionales: Total;2010;32
Tenis;Competiciones internacionales: Total;2009;20
Tenis;Competiciones internacionales: Total;2008;19
Tenis;Competiciones internacionales: Total;2007;15
Tenis;Competiciones internacionales: Total;2006;31
Tenis;Competiciones internacionales: Total;2005;46
Tenis;Competiciones internacionales: Campeonatos del mundo;2024;4
Tenis;Competiciones internacionales: Campeonatos del mundo;2023;4
Tenis;Competiciones internacionales: Campeonatos del mundo;2022;3
Tenis;Competiciones internacionales: Campeonatos del mundo;2021;3
Tenis;Competiciones internacionales: Campeonatos del mundo;2020;0
Tenis;Competiciones internacionales: Campeonatos del mundo;2019;3
Tenis;Competiciones internacionales: Campeonatos del mundo;2018;3
Tenis;Competiciones internacionales: Campeonatos del mundo;2017;3
Tenis;Competiciones internacionales: Campeonatos del mundo;2016;2
Tenis;Competiciones internacionales: Campeonatos del mundo;2015;8
Tenis;Competiciones internacionales: Campeonatos del mundo;2014;9
Tenis;Competiciones internacionales: Campeonatos del mundo;2013;0
Tenis;Competiciones internacionales: Campeonatos del mundo;2012;16
Tenis;Competiciones internacionales: Campeonatos del mundo;2011;7
Tenis;Competiciones internacionales: Campeonatos del mundo;2010;4
Tenis;Competiciones internacionales: Campeonatos del mundo;2009;12
Tenis;Competiciones internacionales: Campeonatos del mundo;2008;11
Tenis;Competiciones internacionales: Campeonatos del mundo;2007;1
Tenis;Competiciones internacionales: Campeonatos del mundo;2006;4
Tenis;Competiciones internacionales: Campeonatos del mundo;2005;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2024;16
Tenis;Competiciones internacionales: Campeonatos de Europa;2023;4
Tenis;Competiciones internacionales: Campeonatos de Europa;2022;4
Tenis;Competiciones internacionales: Campeonatos de Europa;2021;4
Tenis;Competiciones internacionales: Campeonatos de Europa;2020;0
Tenis;Competiciones internacionales: Campeonatos de Europa;2019;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2018;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2017;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2016;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2015;6
Tenis;Competiciones internacionales: Campeonatos de Europa;2014;3
Tenis;Competiciones internacionales: Campeonatos de Europa;2013;0
Tenis;Competiciones internacionales: Campeonatos de Europa;2012;0
Tenis;Competiciones internacionales: Campeonatos de Europa;2011;13
Tenis;Competiciones internacionales: Campeonatos de Europa;2010;0
Tenis;Competiciones internacionales: Campeonatos de Europa;2009;2
Tenis;Competiciones internacionales: Campeonatos de Europa;2008;2
Tenis;Competiciones internacionales: Campeonatos de Europa;2007;2
Tenis;Competiciones internacionales: Campeonatos de Europa;2006;8
Tenis;Competiciones internacionales: Campeonatos de Europa;2005;3
Tenis;Competiciones internacionales: Otros;2024;0
Tenis;Competiciones internacionales: Otros;2023;10
Tenis;Competiciones internacionales: Otros;2022;8
Tenis;Competiciones internacionales: Otros;2021;8
Tenis;Competiciones internacionales: Otros;2020;4
Tenis;Competiciones internacionales: Otros;2019;12
Tenis;Competiciones internacionales: Otros;2018;14
Tenis;Competiciones internacionales: Otros;2017;12
Tenis;Competiciones internacionales: Otros;2016;12
Tenis;Competiciones internacionales: Otros;2015;13
Tenis;Competiciones internacionales: Otros;2014;8
Tenis;Competiciones internacionales: Otros;2013;11
Tenis;Competiciones internacionales: Otros;2012;3
Tenis;Competiciones internacionales: Otros;2011;248
Tenis;Competiciones internacionales: Otros;2010;28
Tenis;Competiciones internacionales: Otros;2009;6
Tenis;Competiciones internacionales: Otros;2008;6
Tenis;Competiciones internacionales: Otros;2007;12
Tenis;Competiciones internacionales: Otros;2006;19
Tenis;Competiciones internacionales: Otros;2005;37
Tenis de Mesa;TOTAL;2024;87
Tenis de Mesa;TOTAL;2023;79
Tenis de Mesa;TOTAL;2022;63
Tenis de Mesa;TOTAL;2021;30
Tenis de Mesa;TOTAL;2020;25
Tenis de Mesa;TOTAL;2019;60
Tenis de Mesa;TOTAL;2018;56
Tenis de Mesa;TOTAL;2017;62
Tenis de Mesa;TOTAL;2016;62
Tenis de Mesa;TOTAL;2015;62
Tenis de Mesa;TOTAL;2014;58
Tenis de Mesa;TOTAL;2013;62
Tenis de Mesa;TOTAL;2012;43
