Federación;Indicador;Medallas;periodo;Total
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;1
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;0
Tenis de Mesa;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2024;2
Tenis de Mesa;Campeonatos de Europa;TOTAL;2023;5
Tenis de Mesa;Campeonatos de Europa;TOTAL;2022;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2021;3
Tenis de Mesa;Campeonatos de Europa;TOTAL;2020;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2019;5
Tenis de Mesa;Campeonatos de Europa;TOTAL;2018;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2017;7
Tenis de Mesa;Campeonatos de Europa;TOTAL;2016;3
Tenis de Mesa;Campeonatos de Europa;TOTAL;2015;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2014;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2013;3
Tenis de Mesa;Campeonatos de Europa;TOTAL;2012;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2011;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2010;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2009;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2008;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2007;0
Tenis de Mesa;Campeonatos de Europa;TOTAL;2006;1
Tenis de Mesa;Campeonatos de Europa;TOTAL;2005;3
Tenis de Mesa;Campeonatos de Europa;Oro;2024;1
Tenis de Mesa;Campeonatos de Europa;Oro;2023;0
Tenis de Mesa;Campeonatos de Europa;Oro;2022;0
Tenis de Mesa;Campeonatos de Europa;Oro;2021;0
Tenis de Mesa;Campeonatos de Europa;Oro;2020;0
Tenis de Mesa;Campeonatos de Europa;Oro;2019;1
Tenis de Mesa;Campeonatos de Europa;Oro;2018;0
Tenis de Mesa;Campeonatos de Europa;Oro;2017;1
Tenis de Mesa;Campeonatos de Europa;Oro;2016;0
Tenis de Mesa;Campeonatos de Europa;Oro;2015;1
Tenis de Mesa;Campeonatos de Europa;Oro;2014;0
Tenis de Mesa;Campeonatos de Europa;Oro;2013;0
Tenis de Mesa;Campeonatos de Europa;Oro;2012;0
Tenis de Mesa;Campeonatos de Europa;Oro;2011;0
Tenis de Mesa;Campeonatos de Europa;Oro;2010;0
Tenis de Mesa;Campeonatos de Europa;Oro;2009;0
Tenis de Mesa;Campeonatos de Europa;Oro;2008;0
Tenis de Mesa;Campeonatos de Europa;Oro;2007;0
Tenis de Mesa;Campeonatos de Europa;Oro;2006;0
Tenis de Mesa;Campeonatos de Europa;Oro;2005;1
Tenis de Mesa;Campeonatos de Europa;Plata;2024;0
Tenis de Mesa;Campeonatos de Europa;Plata;2023;1
Tenis de Mesa;Campeonatos de Europa;Plata;2022;0
Tenis de Mesa;Campeonatos de Europa;Plata;2021;0
Tenis de Mesa;Campeonatos de Europa;Plata;2020;0
Tenis de Mesa;Campeonatos de Europa;Plata;2019;0
Tenis de Mesa;Campeonatos de Europa;Plata;2018;0
Tenis de Mesa;Campeonatos de Europa;Plata;2017;0
Tenis de Mesa;Campeonatos de Europa;Plata;2016;0
Tenis de Mesa;Campeonatos de Europa;Plata;2015;0
Tenis de Mesa;Campeonatos de Europa;Plata;2014;0
Tenis de Mesa;Campeonatos de Europa;Plata;2013;0
Tenis de Mesa;Campeonatos de Europa;Plata;2012;0
Tenis de Mesa;Campeonatos de Europa;Plata;2011;0
Tenis de Mesa;Campeonatos de Europa;Plata;2010;0
Tenis de Mesa;Campeonatos de Europa;Plata;2009;0
Tenis de Mesa;Campeonatos de Europa;Plata;2008;0
Tenis de Mesa;Campeonatos de Europa;Plata;2007;0
Tenis de Mesa;Campeonatos de Europa;Plata;2006;0
Tenis de Mesa;Campeonatos de Europa;Plata;2005;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2024;1
Tenis de Mesa;Campeonatos de Europa;Bronce;2023;4
Tenis de Mesa;Campeonatos de Europa;Bronce;2022;1
Tenis de Mesa;Campeonatos de Europa;Bronce;2021;3
Tenis de Mesa;Campeonatos de Europa;Bronce;2020;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2019;4
Tenis de Mesa;Campeonatos de Europa;Bronce;2018;1
Tenis de Mesa;Campeonatos de Europa;Bronce;2017;6
Tenis de Mesa;Campeonatos de Europa;Bronce;2016;3
Tenis de Mesa;Campeonatos de Europa;Bronce;2015;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2014;1
Tenis de Mesa;Campeonatos de Europa;Bronce;2013;3
Tenis de Mesa;Campeonatos de Europa;Bronce;2012;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2011;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2010;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2009;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2008;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2007;0
Tenis de Mesa;Campeonatos de Europa;Bronce;2006;1
Tenis de Mesa;Campeonatos de Europa;Bronce;2005;2
Tiro a Vuelo;TOTAL;TOTAL;2024;24
Tiro a Vuelo;TOTAL;TOTAL;2023;10
Tiro a Vuelo;TOTAL;TOTAL;2022;17
Tiro a Vuelo;TOTAL;TOTAL;2021;22
Tiro a Vuelo;TOTAL;TOTAL;2020;4
Tiro a Vuelo;TOTAL;TOTAL;2019;11
Tiro a Vuelo;TOTAL;TOTAL;2018;18
Tiro a Vuelo;TOTAL;TOTAL;2017;18
Tiro a Vuelo;TOTAL;TOTAL;2016;22
Tiro a Vuelo;TOTAL;TOTAL;2015;15
Tiro a Vuelo;TOTAL;TOTAL;2014;15
Tiro a Vuelo;TOTAL;TOTAL;2013;14
Tiro a Vuelo;TOTAL;TOTAL;2012;12
Tiro a Vuelo;TOTAL;TOTAL;2011;16
Tiro a Vuelo;TOTAL;TOTAL;2010;12
Tiro a Vuelo;TOTAL;TOTAL;2009;10
Tiro a Vuelo;TOTAL;TOTAL;2008;19
Tiro a Vuelo;TOTAL;TOTAL;2007;15
Tiro a Vuelo;TOTAL;TOTAL;2006;15
Tiro a Vuelo;TOTAL;TOTAL;2005;32
Tiro a Vuelo;TOTAL;Oro;2024;9
Tiro a Vuelo;TOTAL;Oro;2023;5
Tiro a Vuelo;TOTAL;Oro;2022;8
Tiro a Vuelo;TOTAL;Oro;2021;8
Tiro a Vuelo;TOTAL;Oro;2020;2
Tiro a Vuelo;TOTAL;Oro;2019;5
Tiro a Vuelo;TOTAL;Oro;2018;6
Tiro a Vuelo;TOTAL;Oro;2017;5
Tiro a Vuelo;TOTAL;Oro;2016;10
Tiro a Vuelo;TOTAL;Oro;2015;4
Tiro a Vuelo;TOTAL;Oro;2014;7
Tiro a Vuelo;TOTAL;Oro;2013;4
Tiro a Vuelo;TOTAL;Oro;2012;5
Tiro a Vuelo;TOTAL;Oro;2011;1
Tiro a Vuelo;TOTAL;Oro;2010;4
Tiro a Vuelo;TOTAL;Oro;2009;3
Tiro a Vuelo;TOTAL;Oro;2008;7
Tiro a Vuelo;TOTAL;Oro;2007;7
Tiro a Vuelo;TOTAL;Oro;2006;4
Tiro a Vuelo;TOTAL;Oro;2005;11
Tiro a Vuelo;TOTAL;Plata;2024;9
Tiro a Vuelo;TOTAL;Plata;2023;3
Tiro a Vuelo;TOTAL;Plata;2022;2
Tiro a Vuelo;TOTAL;Plata;2021;7
Tiro a Vuelo;TOTAL;Plata;2020;0
Tiro a Vuelo;TOTAL;Plata;2019;3
Tiro a Vuelo;TOTAL;Plata;2018;7
Tiro a Vuelo;TOTAL;Plata;2017;8
Tiro a Vuelo;TOTAL;Plata;2016;7
Tiro a Vuelo;TOTAL;Plata;2015;6
Tiro a Vuelo;TOTAL;Plata;2014;5
Tiro a Vuelo;TOTAL;Plata;2013;6
Tiro a Vuelo;TOTAL;Plata;2012;3
Tiro a Vuelo;TOTAL;Plata;2011;11
Tiro a Vuelo;TOTAL;Plata;2010;5
Tiro a Vuelo;TOTAL;Plata;2009;2
Tiro a Vuelo;TOTAL;Plata;2008;4
Tiro a Vuelo;TOTAL;Plata;2007;3
Tiro a Vuelo;TOTAL;Plata;2006;2
Tiro a Vuelo;TOTAL;Plata;2005;10
Tiro a Vuelo;TOTAL;Bronce;2024;6
Tiro a Vuelo;TOTAL;Bronce;2023;2
Tiro a Vuelo;TOTAL;Bronce;2022;7
Tiro a Vuelo;TOTAL;Bronce;2021;7
Tiro a Vuelo;TOTAL;Bronce;2020;2
Tiro a Vuelo;TOTAL;Bronce;2019;3
Tiro a Vuelo;TOTAL;Bronce;2018;5
Tiro a Vuelo;TOTAL;Bronce;2017;5
Tiro a Vuelo;TOTAL;Bronce;2016;5
Tiro a Vuelo;TOTAL;Bronce;2015;5
Tiro a Vuelo;TOTAL;Bronce;2014;3
Tiro a Vuelo;TOTAL;Bronce;2013;4
Tiro a Vuelo;TOTAL;Bronce;2012;4
Tiro a Vuelo;TOTAL;Bronce;2011;4
Tiro a Vuelo;TOTAL;Bronce;2010;3
Tiro a Vuelo;TOTAL;Bronce;2009;5
Tiro a Vuelo;TOTAL;Bronce;2008;8
Tiro a Vuelo;TOTAL;Bronce;2007;5
Tiro a Vuelo;TOTAL;Bronce;2006;9
Tiro a Vuelo;TOTAL;Bronce;2005;11
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;14
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;11
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;9
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;9
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;9
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;9
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;8
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;9
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;10
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;7
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;6
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;8
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;6
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;16
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;6
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;7
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;6
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;5
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;1
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;3
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;2
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;4
Tiro a Vuelo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;5
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2024;10
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2023;9
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2022;6
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2021;13
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2020;3
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2019;7
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2018;9
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2017;9
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2016;13
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2015;7
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2014;11
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2013;5
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2012;10
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2011;6
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2010;5
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2009;4
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2008;11
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2007;9
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2006;10
Tiro a Vuelo;Campeonatos de Europa;TOTAL;2005;16
Tiro a Vuelo;Campeonatos de Europa;Oro;2024;4
Tiro a Vuelo;Campeonatos de Europa;Oro;2023;5
Tiro a Vuelo;Campeonatos de Europa;Oro;2022;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2021;5
Tiro a Vuelo;Campeonatos de Europa;Oro;2020;1
Tiro a Vuelo;Campeonatos de Europa;Oro;2019;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2018;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2017;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2016;6
Tiro a Vuelo;Campeonatos de Europa;Oro;2015;2
Tiro a Vuelo;Campeonatos de Europa;Oro;2014;6
Tiro a Vuelo;Campeonatos de Europa;Oro;2013;1
Tiro a Vuelo;Campeonatos de Europa;Oro;2012;4
Tiro a Vuelo;Campeonatos de Europa;Oro;2011;1
Tiro a Vuelo;Campeonatos de Europa;Oro;2010;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2009;0
Tiro a Vuelo;Campeonatos de Europa;Oro;2008;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2007;5
Tiro a Vuelo;Campeonatos de Europa;Oro;2006;3
Tiro a Vuelo;Campeonatos de Europa;Oro;2005;6
Tiro a Vuelo;Campeonatos de Europa;Plata;2024;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2023;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2022;1
Tiro a Vuelo;Campeonatos de Europa;Plata;2021;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2020;0
Tiro a Vuelo;Campeonatos de Europa;Plata;2019;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2018;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2017;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2016;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2015;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2014;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2013;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2012;3
Tiro a Vuelo;Campeonatos de Europa;Plata;2011;4
Tiro a Vuelo;Campeonatos de Europa;Plata;2010;1
Tiro a Vuelo;Campeonatos de Europa;Plata;2009;1
Tiro a Vuelo;Campeonatos de Europa;Plata;2008;4
Tiro a Vuelo;Campeonatos de Europa;Plata;2007;1
Tiro a Vuelo;Campeonatos de Europa;Plata;2006;2
Tiro a Vuelo;Campeonatos de Europa;Plata;2005;4
Tiro a Vuelo;Campeonatos de Europa;Bronce;2024;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2023;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2022;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2021;5
Tiro a Vuelo;Campeonatos de Europa;Bronce;2020;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2019;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2018;4
Tiro a Vuelo;Campeonatos de Europa;Bronce;2017;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2016;4
Tiro a Vuelo;Campeonatos de Europa;Bronce;2015;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2014;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2013;2
Tiro a Vuelo;Campeonatos de Europa;Bronce;2012;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2011;1
Tiro a Vuelo;Campeonatos de Europa;Bronce;2010;1
Tiro a Vuelo;Campeonatos de Europa;Bronce;2009;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2008;4
Tiro a Vuelo;Campeonatos de Europa;Bronce;2007;3
Tiro a Vuelo;Campeonatos de Europa;Bronce;2006;5
Tiro a Vuelo;Campeonatos de Europa;Bronce;2005;6
Tiro con Arco;TOTAL;TOTAL;2024;14
Tiro con Arco;TOTAL;TOTAL;2023;15
Tiro con Arco;TOTAL;TOTAL;2022;18
Tiro con Arco;TOTAL;TOTAL;2021;11
Tiro con Arco;TOTAL;TOTAL;2020;0
Tiro con Arco;TOTAL;TOTAL;2019;3
Tiro con Arco;TOTAL;TOTAL;2018;9
Tiro con Arco;TOTAL;TOTAL;2017;3
Tiro con Arco;TOTAL;TOTAL;2016;14
Tiro con Arco;TOTAL;TOTAL;2015;4
Tiro con Arco;TOTAL;TOTAL;2014;4
Tiro con Arco;TOTAL;TOTAL;2013;4
Tiro con Arco;TOTAL;TOTAL;2012;8
Tiro con Arco;TOTAL;TOTAL;2011;11
Tiro con Arco;TOTAL;TOTAL;2010;9
Tiro con Arco;TOTAL;TOTAL;2009;6
Tiro con Arco;TOTAL;TOTAL;2008;1
Tiro con Arco;TOTAL;TOTAL;2007;3
Tiro con Arco;TOTAL;TOTAL;2006;8
Tiro con Arco;TOTAL;TOTAL;2005;4
Tiro con Arco;TOTAL;Oro;2024;4
Tiro con Arco;TOTAL;Oro;2023;3
Tiro con Arco;TOTAL;Oro;2022;4
Tiro con Arco;TOTAL;Oro;2021;3
Tiro con Arco;TOTAL;Oro;2020;0
Tiro con Arco;TOTAL;Oro;2019;0
Tiro con Arco;TOTAL;Oro;2018;1
Tiro con Arco;TOTAL;Oro;2017;1
Tiro con Arco;TOTAL;Oro;2016;4
Tiro con Arco;TOTAL;Oro;2015;4
Tiro con Arco;TOTAL;Oro;2014;1
Tiro con Arco;TOTAL;Oro;2013;1
Tiro con Arco;TOTAL;Oro;2012;4
Tiro con Arco;TOTAL;Oro;2011;2
Tiro con Arco;TOTAL;Oro;2010;2
Tiro con Arco;TOTAL;Oro;2009;1
Tiro con Arco;TOTAL;Oro;2008;1
Tiro con Arco;TOTAL;Oro;2007;0
Tiro con Arco;TOTAL;Oro;2006;1
Tiro con Arco;TOTAL;Oro;2005;1
Tiro con Arco;TOTAL;Plata;2024;8
Tiro con Arco;TOTAL;Plata;2023;7
Tiro con Arco;TOTAL;Plata;2022;10
Tiro con Arco;TOTAL;Plata;2021;6
Tiro con Arco;TOTAL;Plata;2020;0
Tiro con Arco;TOTAL;Plata;2019;1
Tiro con Arco;TOTAL;Plata;2018;4
Tiro con Arco;TOTAL;Plata;2017;2
Tiro con Arco;TOTAL;Plata;2016;5
Tiro con Arco;TOTAL;Plata;2015;0
Tiro con Arco;TOTAL;Plata;2014;2
Tiro con Arco;TOTAL;Plata;2013;1
Tiro con Arco;TOTAL;Plata;2012;3
Tiro con Arco;TOTAL;Plata;2011;3
Tiro con Arco;TOTAL;Plata;2010;3
Tiro con Arco;TOTAL;Plata;2009;1
Tiro con Arco;TOTAL;Plata;2008;0
Tiro con Arco;TOTAL;Plata;2007;3
Tiro con Arco;TOTAL;Plata;2006;2
Tiro con Arco;TOTAL;Plata;2005;3
Tiro con Arco;TOTAL;Bronce;2024;2
Tiro con Arco;TOTAL;Bronce;2023;5
Tiro con Arco;TOTAL;Bronce;2022;4
Tiro con Arco;TOTAL;Bronce;2021;2
Tiro con Arco;TOTAL;Bronce;2020;0
Tiro con Arco;TOTAL;Bronce;2019;2
Tiro con Arco;TOTAL;Bronce;2018;4
Tiro con Arco;TOTAL;Bronce;2017;0
Tiro con Arco;TOTAL;Bronce;2016;5
Tiro con Arco;TOTAL;Bronce;2015;0
Tiro con Arco;TOTAL;Bronce;2014;1
Tiro con Arco;TOTAL;Bronce;2013;2
Tiro con Arco;TOTAL;Bronce;2012;1
Tiro con Arco;TOTAL;Bronce;2011;6
Tiro con Arco;TOTAL;Bronce;2010;4
Tiro con Arco;TOTAL;Bronce;2009;4
Tiro con Arco;TOTAL;Bronce;2008;0
Tiro con Arco;TOTAL;Bronce;2007;0
Tiro con Arco;TOTAL;Bronce;2006;5
Tiro con Arco;TOTAL;Bronce;2005;0
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;8
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;1
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;12
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;3
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;3
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;1
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;3
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;1
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;4
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;0
Tiro con Arco;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;4
