Federación;Indicador;Medallas;periodo;Total
Actividades Subacuáticas;TOTAL;Bronce;2021;2
Actividades Subacuáticas;TOTAL;Bronce;2020;0
Actividades Subacuáticas;TOTAL;Bronce;2019;3
Actividades Subacuáticas;TOTAL;Bronce;2018;1
Actividades Subacuáticas;TOTAL;Bronce;2017;1
Actividades Subacuáticas;TOTAL;Bronce;2016;1
Actividades Subacuáticas;TOTAL;Bronce;2015;2
Actividades Subacuáticas;TOTAL;Bronce;2014;3
Actividades Subacuáticas;TOTAL;Bronce;2013;5
Actividades Subacuáticas;TOTAL;Bronce;2012;2
Actividades Subacuáticas;TOTAL;Bronce;2011;2
Actividades Subacuáticas;TOTAL;Bronce;2010;2
Actividades Subacuáticas;TOTAL;Bronce;2009;1
Actividades Subacuáticas;TOTAL;Bronce;2008;1
Actividades Subacuáticas;TOTAL;Bronce;2007;1
Actividades Subacuáticas;TOTAL;Bronce;2006;2
Actividades Subacuáticas;TOTAL;Bronce;2005;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;32
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;13
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;13
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;6
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;5
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;12
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;6
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;12
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;4
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;8
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;8
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;3
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;1
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;2
Actividades Subacuáticas;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2024;2
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2023;1
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2022;0
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2021;0
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2020;0
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2019;7
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2018;0
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2017;5
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2016;3
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2015;7
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2014;1
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2013;5
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2012;3
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2011;3
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2010;2
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2009;3
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2008;1
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2007;2
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2006;0
