Federación;Comunidad autónoma;periodo;Total
Béisbol y Sófbol;Navarra, Comunidad Foral de;2017;5
Béisbol y Sófbol;Navarra, Comunidad Foral de;2016;4
Béisbol y Sófbol;Navarra, Comunidad Foral de;2015;5
Béisbol y Sófbol;Navarra, Comunidad Foral de;2014;5
Béisbol y Sófbol;Navarra, Comunidad Foral de;2013;6
Béisbol y Sófbol;Navarra, Comunidad Foral de;2012;6
Béisbol y Sófbol;Navarra, Comunidad Foral de;2011;9
Béisbol y Sófbol;Navarra, Comunidad Foral de;2010;8
Béisbol y Sófbol;Navarra, Comunidad Foral de;2009;7
Béisbol y Sófbol;Navarra, Comunidad Foral de;2008;6
Béisbol y Sófbol;Navarra, Comunidad Foral de;2007;4
Béisbol y Sófbol;País Vasco;2024;2
Béisbol y Sófbol;País Vasco;2023;2
Béisbol y Sófbol;País Vasco;2022;10
Béisbol y Sófbol;País Vasco;2021;10
Béisbol y Sófbol;País Vasco;2020;7
Béisbol y Sófbol;País Vasco;2019;7
Béisbol y Sófbol;País Vasco;2018;6
Béisbol y Sófbol;País Vasco;2017;5
Béisbol y Sófbol;País Vasco;2016;7
Béisbol y Sófbol;País Vasco;2015;9
Béisbol y Sófbol;País Vasco;2014;7
Béisbol y Sófbol;País Vasco;2013;7
Béisbol y Sófbol;País Vasco;2012;13
Béisbol y Sófbol;País Vasco;2011;14
Béisbol y Sófbol;País Vasco;2010;8
Béisbol y Sófbol;País Vasco;2009;11
Béisbol y Sófbol;País Vasco;2008;6
Béisbol y Sófbol;País Vasco;2007;7
Béisbol y Sófbol;Rioja, La;2024;0
Béisbol y Sófbol;Rioja, La;2023;0
Béisbol y Sófbol;Rioja, La;2022;0
Béisbol y Sófbol;Rioja, La;2021;0
Béisbol y Sófbol;Rioja, La;2020;0
Béisbol y Sófbol;Rioja, La;2019;0
Béisbol y Sófbol;Rioja, La;2018;0
Béisbol y Sófbol;Rioja, La;2017;0
Béisbol y Sófbol;Rioja, La;2016;0
Béisbol y Sófbol;Rioja, La;2015;0
Béisbol y Sófbol;Rioja, La;2014;0
Béisbol y Sófbol;Rioja, La;2013;0
Béisbol y Sófbol;Rioja, La;2012;0
Béisbol y Sófbol;Rioja, La;2011;0
Béisbol y Sófbol;Rioja, La;2010;0
Béisbol y Sófbol;Rioja, La;2009;0
Béisbol y Sófbol;Rioja, La;2008;0
Béisbol y Sófbol;Rioja, La;2007;0
Béisbol y Sófbol;Ceuta;2024;0
Béisbol y Sófbol;Ceuta;2023;0
Béisbol y Sófbol;Ceuta;2022;0
Béisbol y Sófbol;Ceuta;2021;0
Béisbol y Sófbol;Ceuta;2020;0
Béisbol y Sófbol;Ceuta;2019;0
Béisbol y Sófbol;Ceuta;2018;0
Béisbol y Sófbol;Ceuta;2017;0
Béisbol y Sófbol;Ceuta;2016;0
Béisbol y Sófbol;Ceuta;2015;0
Béisbol y Sófbol;Ceuta;2014;0
Béisbol y Sófbol;Ceuta;2013;0
Béisbol y Sófbol;Ceuta;2012;0
Béisbol y Sófbol;Ceuta;2011;0
Béisbol y Sófbol;Ceuta;2010;0
Béisbol y Sófbol;Ceuta;2009;0
Béisbol y Sófbol;Ceuta;2008;0
Béisbol y Sófbol;Ceuta;2007;0
Béisbol y Sófbol;Melilla;2024;0
Béisbol y Sófbol;Melilla;2023;0
Béisbol y Sófbol;Melilla;2022;0
Béisbol y Sófbol;Melilla;2021;0
Béisbol y Sófbol;Melilla;2020;0
Béisbol y Sófbol;Melilla;2019;0
Béisbol y Sófbol;Melilla;2018;0
Béisbol y Sófbol;Melilla;2017;0
Béisbol y Sófbol;Melilla;2016;0
Béisbol y Sófbol;Melilla;2015;0
Béisbol y Sófbol;Melilla;2014;0
Béisbol y Sófbol;Melilla;2013;0
Béisbol y Sófbol;Melilla;2012;0
Béisbol y Sófbol;Melilla;2011;0
Béisbol y Sófbol;Melilla;2010;0
Béisbol y Sófbol;Melilla;2009;0
Béisbol y Sófbol;Melilla;2008;0
Béisbol y Sófbol;Melilla;2007;0
Béisbol y Sófbol;Sin territorializar;2024;0
Béisbol y Sófbol;Sin territorializar;2023;0
Béisbol y Sófbol;Sin territorializar;2022;0
Béisbol y Sófbol;Sin territorializar;2021;0
Béisbol y Sófbol;Sin territorializar;2020;0
Béisbol y Sófbol;Sin territorializar;2019;0
Béisbol y Sófbol;Sin territorializar;2018;0
Béisbol y Sófbol;Sin territorializar;2017;0
Béisbol y Sófbol;Sin territorializar;2016;0
Béisbol y Sófbol;Sin territorializar;2015;0
Béisbol y Sófbol;Sin territorializar;2014;0
Béisbol y Sófbol;Sin territorializar;2013;0
Béisbol y Sófbol;Sin territorializar;2012;0
Béisbol y Sófbol;Sin territorializar;2011;0
Béisbol y Sófbol;Sin territorializar;2010;0
Béisbol y Sófbol;Sin territorializar;2009;0
Béisbol y Sófbol;Sin territorializar;2008;0
Béisbol y Sófbol;Sin territorializar;2007;0
Billar;TOTAL;2024;230
Billar;TOTAL;2023;232
Billar;TOTAL;2022;213
Billar;TOTAL;2021;210
Billar;TOTAL;2020;222
Billar;TOTAL;2019;222
Billar;TOTAL;2018;215
Billar;TOTAL;2017;219
Billar;TOTAL;2016;228
Billar;TOTAL;2015;249
Billar;TOTAL;2014;246
Billar;TOTAL;2013;301
Billar;TOTAL;2012;264
Billar;TOTAL;2011;264
Billar;TOTAL;2010;264
Billar;TOTAL;2009;264
Billar;TOTAL;2008;264
Billar;TOTAL;2007;255
Billar;Andalucía;2024;27
Billar;Andalucía;2023;28
Billar;Andalucía;2022;21
Billar;Andalucía;2021;21
Billar;Andalucía;2020;22
Billar;Andalucía;2019;22
Billar;Andalucía;2018;22
Billar;Andalucía;2017;22
Billar;Andalucía;2016;22
Billar;Andalucía;2015;23
Billar;Andalucía;2014;22
Billar;Andalucía;2013;26
Billar;Andalucía;2012;24
Billar;Andalucía;2011;24
Billar;Andalucía;2010;24
Billar;Andalucía;2009;24
Billar;Andalucía;2008;24
Billar;Andalucía;2007;24
Billar;Aragón;2024;12
Billar;Aragón;2023;12
Billar;Aragón;2022;13
Billar;Aragón;2021;13
Billar;Aragón;2020;14
Billar;Aragón;2019;14
Billar;Aragón;2018;14
Billar;Aragón;2017;15
Billar;Aragón;2016;15
Billar;Aragón;2015;16
Billar;Aragón;2014;15
Billar;Aragón;2013;16
Billar;Aragón;2012;16
Billar;Aragón;2011;16
Billar;Aragón;2010;16
Billar;Aragón;2009;16
Billar;Aragón;2008;16
Billar;Aragón;2007;16
Billar;Asturias, Principado de;2024;6
Billar;Asturias, Principado de;2023;6
Billar;Asturias, Principado de;2022;5
Billar;Asturias, Principado de;2021;5
Billar;Asturias, Principado de;2020;5
Billar;Asturias, Principado de;2019;5
Billar;Asturias, Principado de;2018;5
Billar;Asturias, Principado de;2017;7
Billar;Asturias, Principado de;2016;7
Billar;Asturias, Principado de;2015;7
Billar;Asturias, Principado de;2014;8
Billar;Asturias, Principado de;2013;8
Billar;Asturias, Principado de;2012;9
Billar;Asturias, Principado de;2011;9
Billar;Asturias, Principado de;2010;9
Billar;Asturias, Principado de;2009;9
Billar;Asturias, Principado de;2008;9
Billar;Asturias, Principado de;2007;9
Billar;Balears, Illes;2024;8
Billar;Balears, Illes;2023;8
Billar;Balears, Illes;2022;9
Billar;Balears, Illes;2021;9
Billar;Balears, Illes;2020;8
Billar;Balears, Illes;2019;8
Billar;Balears, Illes;2018;7
Billar;Balears, Illes;2017;7
Billar;Balears, Illes;2016;8
Billar;Balears, Illes;2015;10
Billar;Balears, Illes;2014;12
Billar;Balears, Illes;2013;32
Billar;Balears, Illes;2012;22
Billar;Balears, Illes;2011;22
Billar;Balears, Illes;2010;22
Billar;Balears, Illes;2009;22
Billar;Balears, Illes;2008;22
Billar;Balears, Illes;2007;22
Billar;Canarias;2024;1
Billar;Canarias;2023;1
Billar;Canarias;2022;1
Billar;Canarias;2021;1
Billar;Canarias;2020;1
Billar;Canarias;2019;1
Billar;Canarias;2018;1
Billar;Canarias;2017;1
Billar;Canarias;2016;13
Billar;Canarias;2015;13
Billar;Canarias;2014;13
Billar;Canarias;2013;13
Billar;Canarias;2012;4
Billar;Canarias;2011;4
Billar;Canarias;2010;4
Billar;Canarias;2009;4
Billar;Canarias;2008;4
Billar;Canarias;2007;4
Billar;Cantabria;2024;1
Billar;Cantabria;2023;1
Billar;Cantabria;2022;1
Billar;Cantabria;2021;1
Billar;Cantabria;2020;1
Billar;Cantabria;2019;1
Billar;Cantabria;2018;1
Billar;Cantabria;2017;1
Billar;Cantabria;2016;1
Billar;Cantabria;2015;1
Billar;Cantabria;2014;1
Billar;Cantabria;2013;1
Billar;Cantabria;2012;1
Billar;Cantabria;2011;1
Billar;Cantabria;2010;1
Billar;Cantabria;2009;1
Billar;Cantabria;2008;1
Billar;Cantabria;2007;1
Billar;Castilla y León;2024;10
Billar;Castilla y León;2023;12
Billar;Castilla y León;2022;11
Billar;Castilla y León;2021;19
Billar;Castilla y León;2020;19
Billar;Castilla y León;2019;19
Billar;Castilla y León;2018;17
Billar;Castilla y León;2017;27
Billar;Castilla y León;2016;27
Billar;Castilla y León;2015;25
Billar;Castilla y León;2014;25
Billar;Castilla y León;2013;25
Billar;Castilla y León;2012;20
Billar;Castilla y León;2011;20
Billar;Castilla y León;2010;20
Billar;Castilla y León;2009;20
Billar;Castilla y León;2008;20
Billar;Castilla y León;2007;19
Billar;Castilla-La Mancha;2024;8
Billar;Castilla-La Mancha;2023;8
Billar;Castilla-La Mancha;2022;6
Billar;Castilla-La Mancha;2021;6
Billar;Castilla-La Mancha;2020;6
Billar;Castilla-La Mancha;2019;6
Billar;Castilla-La Mancha;2018;6
Billar;Castilla-La Mancha;2017;6
Billar;Castilla-La Mancha;2016;6
Billar;Castilla-La Mancha;2015;21
Billar;Castilla-La Mancha;2014;21
Billar;Castilla-La Mancha;2013;21
Billar;Castilla-La Mancha;2012;14
Billar;Castilla-La Mancha;2011;14
Billar;Castilla-La Mancha;2010;14
Billar;Castilla-La Mancha;2009;14
Billar;Castilla-La Mancha;2008;14
Billar;Castilla-La Mancha;2007;2
Billar;Cataluña;2024;37
Billar;Cataluña;2023;37
Billar;Cataluña;2022;36
Billar;Cataluña;2021;35
Billar;Cataluña;2020;38
Billar;Cataluña;2019;38
Billar;Cataluña;2018;38
Billar;Cataluña;2017;37
Billar;Cataluña;2016;37
Billar;Cataluña;2015;38
Billar;Cataluña;2014;37
Billar;Cataluña;2013;39
Billar;Cataluña;2012;47
Billar;Cataluña;2011;47
Billar;Cataluña;2010;47
Billar;Cataluña;2009;47
Billar;Cataluña;2008;47
Billar;Cataluña;2007;47
Billar;Comunitat Valenciana;2024;43
Billar;Comunitat Valenciana;2023;43
Billar;Comunitat Valenciana;2022;40
Billar;Comunitat Valenciana;2021;30
Billar;Comunitat Valenciana;2020;40
Billar;Comunitat Valenciana;2019;40
Billar;Comunitat Valenciana;2018;44
Billar;Comunitat Valenciana;2017;33
Billar;Comunitat Valenciana;2016;35
Billar;Comunitat Valenciana;2015;36
Billar;Comunitat Valenciana;2014;36
Billar;Comunitat Valenciana;2013;45
Billar;Comunitat Valenciana;2012;41
Billar;Comunitat Valenciana;2011;41
Billar;Comunitat Valenciana;2010;41
Billar;Comunitat Valenciana;2009;41
Billar;Comunitat Valenciana;2008;41
Billar;Comunitat Valenciana;2007;44
Billar;Extremadura;2024;5
Billar;Extremadura;2023;5
Billar;Extremadura;2022;5
Billar;Extremadura;2021;5
Billar;Extremadura;2020;5
Billar;Extremadura;2019;5
Billar;Extremadura;2018;5
Billar;Extremadura;2017;7
Billar;Extremadura;2016;7
Billar;Extremadura;2015;7
Billar;Extremadura;2014;7
Billar;Extremadura;2013;7
Billar;Extremadura;2012;7
Billar;Extremadura;2011;7
Billar;Extremadura;2010;7
Billar;Extremadura;2009;7
Billar;Extremadura;2008;7
Billar;Extremadura;2007;7
Billar;Galicia;2024;33
Billar;Galicia;2023;33
Billar;Galicia;2022;30
Billar;Galicia;2021;27
Billar;Galicia;2020;25
Billar;Galicia;2019;25
Billar;Galicia;2018;22
Billar;Galicia;2017;23
Billar;Galicia;2016;19
Billar;Galicia;2015;14
Billar;Galicia;2014;11
Billar;Galicia;2013;19
Billar;Galicia;2012;16
Billar;Galicia;2011;16
Billar;Galicia;2010;16
Billar;Galicia;2009;16
Billar;Galicia;2008;16
Billar;Galicia;2007;18
Billar;Madrid, Comunidad de;2024;22
Billar;Madrid, Comunidad de;2023;22
Billar;Madrid, Comunidad de;2022;19
Billar;Madrid, Comunidad de;2021;22
Billar;Madrid, Comunidad de;2020;22
Billar;Madrid, Comunidad de;2019;22
Billar;Madrid, Comunidad de;2018;17
Billar;Madrid, Comunidad de;2017;17
Billar;Madrid, Comunidad de;2016;17
Billar;Madrid, Comunidad de;2015;17
Billar;Madrid, Comunidad de;2014;23
Billar;Madrid, Comunidad de;2013;23
Billar;Madrid, Comunidad de;2012;21
Billar;Madrid, Comunidad de;2011;21
Billar;Madrid, Comunidad de;2010;21
Billar;Madrid, Comunidad de;2009;21
Billar;Madrid, Comunidad de;2008;21
Billar;Madrid, Comunidad de;2007;20
Billar;Murcia, Región de;2024;8
Billar;Murcia, Región de;2023;8
Billar;Murcia, Región de;2022;8
Billar;Murcia, Región de;2021;8
Billar;Murcia, Región de;2020;7
Billar;Murcia, Región de;2019;7
Billar;Murcia, Región de;2018;7
Billar;Murcia, Región de;2017;7
Billar;Murcia, Región de;2016;7
Billar;Murcia, Región de;2015;7
Billar;Murcia, Región de;2014;7
Billar;Murcia, Región de;2013;12
Billar;Murcia, Región de;2012;12
Billar;Murcia, Región de;2011;12
Billar;Murcia, Región de;2010;12
Billar;Murcia, Región de;2009;12
Billar;Murcia, Región de;2008;12
Billar;Murcia, Región de;2007;12
Billar;Navarra, Comunidad Foral de;2024;1
Billar;Navarra, Comunidad Foral de;2023;1
Billar;Navarra, Comunidad Foral de;2022;1
Billar;Navarra, Comunidad Foral de;2021;1
Billar;Navarra, Comunidad Foral de;2020;1
Billar;Navarra, Comunidad Foral de;2019;1
Billar;Navarra, Comunidad Foral de;2018;1
Billar;Navarra, Comunidad Foral de;2017;1
Billar;Navarra, Comunidad Foral de;2016;1
Billar;Navarra, Comunidad Foral de;2015;1
Billar;Navarra, Comunidad Foral de;2014;1
Billar;Navarra, Comunidad Foral de;2013;1
Billar;Navarra, Comunidad Foral de;2012;1
Billar;Navarra, Comunidad Foral de;2011;1
Billar;Navarra, Comunidad Foral de;2010;1
Billar;Navarra, Comunidad Foral de;2009;1
Billar;Navarra, Comunidad Foral de;2008;1
Billar;Navarra, Comunidad Foral de;2007;1
Billar;País Vasco;2024;8
Billar;País Vasco;2023;7
Billar;País Vasco;2022;7
Billar;País Vasco;2021;7
Billar;País Vasco;2020;8
Billar;País Vasco;2019;8
Billar;País Vasco;2018;8
Billar;País Vasco;2017;8
Billar;País Vasco;2016;6
Billar;País Vasco;2015;13
Billar;País Vasco;2014;7
Billar;País Vasco;2013;13
Billar;País Vasco;2012;9
Billar;País Vasco;2011;9
Billar;País Vasco;2010;9
Billar;País Vasco;2009;9
Billar;País Vasco;2008;9
Billar;País Vasco;2007;9
Billar;Rioja, La;2024;0
Billar;Rioja, La;2023;0
Billar;Rioja, La;2022;0
Billar;Rioja, La;2021;0
Billar;Rioja, La;2020;0
Billar;Rioja, La;2019;0
Billar;Rioja, La;2018;0
Billar;Rioja, La;2017;0
Billar;Rioja, La;2016;0
Billar;Rioja, La;2015;0
Billar;Rioja, La;2014;0
Billar;Rioja, La;2013;0
Billar;Rioja, La;2012;0
Billar;Rioja, La;2011;0
Billar;Rioja, La;2010;0
Billar;Rioja, La;2009;0
Billar;Rioja, La;2008;0
Billar;Rioja, La;2007;0
Billar;Ceuta;2024;0
Billar;Ceuta;2023;0
Billar;Ceuta;2022;0
Billar;Ceuta;2021;0
Billar;Ceuta;2020;0
Billar;Ceuta;2019;0
Billar;Ceuta;2018;0
Billar;Ceuta;2017;0
Billar;Ceuta;2016;0
Billar;Ceuta;2015;0
Billar;Ceuta;2014;0
Billar;Ceuta;2013;0
Billar;Ceuta;2012;0
Billar;Ceuta;2011;0
Billar;Ceuta;2010;0
Billar;Ceuta;2009;0
Billar;Ceuta;2008;0
Billar;Ceuta;2007;0
Billar;Melilla;2024;0
Billar;Melilla;2023;0
Billar;Melilla;2022;0
Billar;Melilla;2021;0
Billar;Melilla;2020;0
Billar;Melilla;2019;0
Billar;Melilla;2018;0
Billar;Melilla;2017;0
Billar;Melilla;2016;0
Billar;Melilla;2015;0
Billar;Melilla;2014;0
Billar;Melilla;2013;0
Billar;Melilla;2012;0
Billar;Melilla;2011;0
Billar;Melilla;2010;0
Billar;Melilla;2009;0
Billar;Melilla;2008;0
Billar;Melilla;2007;0
Billar;Sin territorializar;2024;0
Billar;Sin territorializar;2023;0
Billar;Sin territorializar;2022;0
Billar;Sin territorializar;2021;0
Billar;Sin territorializar;2020;0
Billar;Sin territorializar;2019;0
Billar;Sin territorializar;2018;0
Billar;Sin territorializar;2017;0
Billar;Sin territorializar;2016;0
Billar;Sin territorializar;2015;0
Billar;Sin territorializar;2014;0
Billar;Sin territorializar;2013;0
Billar;Sin territorializar;2012;0
Billar;Sin territorializar;2011;0
Billar;Sin territorializar;2010;0
Billar;Sin territorializar;2009;0
Billar;Sin territorializar;2008;0
Billar;Sin territorializar;2007;0
Bolos;TOTAL;2024;345
Bolos;TOTAL;2023;315
Bolos;TOTAL;2022;311
Bolos;TOTAL;2021;277
Bolos;TOTAL;2020;329
Bolos;TOTAL;2019;344
Bolos;TOTAL;2018;358
Bolos;TOTAL;2017;380
Bolos;TOTAL;2016;396
Bolos;TOTAL;2015;332
Bolos;TOTAL;2014;324
Bolos;TOTAL;2013;208
Bolos;TOTAL;2012;214
Bolos;TOTAL;2011;212
Bolos;TOTAL;2010;225
Bolos;TOTAL;2009;377
Bolos;TOTAL;2008;375
Bolos;TOTAL;2007;833
Bolos;Andalucía;2024;36
Bolos;Andalucía;2023;30
Bolos;Andalucía;2022;32
Bolos;Andalucía;2021;30
Bolos;Andalucía;2020;33
Bolos;Andalucía;2019;24
Bolos;Andalucía;2018;25
Bolos;Andalucía;2017;23
Bolos;Andalucía;2016;25
Bolos;Andalucía;2015;11
Bolos;Andalucía;2014;20
Bolos;Andalucía;2013;22
Bolos;Andalucía;2012;23
Bolos;Andalucía;2011;20
Bolos;Andalucía;2010;24
Bolos;Andalucía;2009;13
Bolos;Andalucía;2008;14
Bolos;Andalucía;2007;35
Bolos;Aragón;2024;5
Bolos;Aragón;2023;5
Bolos;Aragón;2022;5
Bolos;Aragón;2021;4
Bolos;Aragón;2020;3
Bolos;Aragón;2019;2
Bolos;Aragón;2018;2
Bolos;Aragón;2017;0
Bolos;Aragón;2016;0
Bolos;Aragón;2015;0
Bolos;Aragón;2014;0
Bolos;Aragón;2013;0
Bolos;Aragón;2012;0
Bolos;Aragón;2011;0
Bolos;Aragón;2010;0
Bolos;Aragón;2009;0
Bolos;Aragón;2008;0
Bolos;Aragón;2007;0
Bolos;Asturias, Principado de;2024;18
Bolos;Asturias, Principado de;2023;18
Bolos;Asturias, Principado de;2022;19
Bolos;Asturias, Principado de;2021;17
Bolos;Asturias, Principado de;2020;47
Bolos;Asturias, Principado de;2019;54
Bolos;Asturias, Principado de;2018;52
Bolos;Asturias, Principado de;2017;62
Bolos;Asturias, Principado de;2016;59
Bolos;Asturias, Principado de;2015;24
Bolos;Asturias, Principado de;2014;24
Bolos;Asturias, Principado de;2013;23
Bolos;Asturias, Principado de;2012;25
Bolos;Asturias, Principado de;2011;22
Bolos;Asturias, Principado de;2010;27
Bolos;Asturias, Principado de;2009;32
Bolos;Asturias, Principado de;2008;28
Bolos;Asturias, Principado de;2007;143
Bolos;Balears, Illes;2024;5
Bolos;Balears, Illes;2023;5
Bolos;Balears, Illes;2022;5
Bolos;Balears, Illes;2021;5
Bolos;Balears, Illes;2020;5
Bolos;Balears, Illes;2019;4
Bolos;Balears, Illes;2018;5
Bolos;Balears, Illes;2017;2
Bolos;Balears, Illes;2016;4
Bolos;Balears, Illes;2015;4
Bolos;Balears, Illes;2014;3
Bolos;Balears, Illes;2013;5
Bolos;Balears, Illes;2012;7
Bolos;Balears, Illes;2011;8
Bolos;Balears, Illes;2010;7
Bolos;Balears, Illes;2009;5
Bolos;Balears, Illes;2008;3
Bolos;Balears, Illes;2007;12
Bolos;Canarias;2024;0
Bolos;Canarias;2023;0
Bolos;Canarias;2022;0
Bolos;Canarias;2021;0
Bolos;Canarias;2020;0
Bolos;Canarias;2019;0
Bolos;Canarias;2018;0
Bolos;Canarias;2017;0
Bolos;Canarias;2016;0
Bolos;Canarias;2015;0
Bolos;Canarias;2014;0
Bolos;Canarias;2013;0
Bolos;Canarias;2012;0
Bolos;Canarias;2011;0
Bolos;Canarias;2010;0
Bolos;Canarias;2009;0
Bolos;Canarias;2008;0
Bolos;Canarias;2007;0
Bolos;Cantabria;2024;144
Bolos;Cantabria;2023;127
Bolos;Cantabria;2022;135
Bolos;Cantabria;2021;129
Bolos;Cantabria;2020;124
Bolos;Cantabria;2019;130
Bolos;Cantabria;2018;133
Bolos;Cantabria;2017;141
Bolos;Cantabria;2016;153
Bolos;Cantabria;2015;150
Bolos;Cantabria;2014;141
Bolos;Cantabria;2013;19
Bolos;Cantabria;2012;18
Bolos;Cantabria;2011;19
Bolos;Cantabria;2010;13
Bolos;Cantabria;2009;181
Bolos;Cantabria;2008;167
Bolos;Cantabria;2007;305
Bolos;Castilla y León;2024;37
Bolos;Castilla y León;2023;26
Bolos;Castilla y León;2022;28
Bolos;Castilla y León;2021;29
Bolos;Castilla y León;2020;35
Bolos;Castilla y León;2019;35
Bolos;Castilla y León;2018;36
Bolos;Castilla y León;2017;37
Bolos;Castilla y León;2016;36
Bolos;Castilla y León;2015;37
Bolos;Castilla y León;2014;27
Bolos;Castilla y León;2013;23
Bolos;Castilla y León;2012;27
Bolos;Castilla y León;2011;28
Bolos;Castilla y León;2010;30
Bolos;Castilla y León;2009;27
Bolos;Castilla y León;2008;27
Bolos;Castilla y León;2007;63
Bolos;Castilla-La Mancha;2024;3
Bolos;Castilla-La Mancha;2023;2
Bolos;Castilla-La Mancha;2022;2
Bolos;Castilla-La Mancha;2021;1
Bolos;Castilla-La Mancha;2020;1
Bolos;Castilla-La Mancha;2019;1
Bolos;Castilla-La Mancha;2018;1
Bolos;Castilla-La Mancha;2017;1
Bolos;Castilla-La Mancha;2016;1
Bolos;Castilla-La Mancha;2015;2
Bolos;Castilla-La Mancha;2014;0
Bolos;Castilla-La Mancha;2013;0
Bolos;Castilla-La Mancha;2012;0
Bolos;Castilla-La Mancha;2011;0
Bolos;Castilla-La Mancha;2010;0
Bolos;Castilla-La Mancha;2009;0
Bolos;Castilla-La Mancha;2008;0
Bolos;Castilla-La Mancha;2007;0
Bolos;Cataluña;2024;7
Bolos;Cataluña;2023;5
Bolos;Cataluña;2022;4
Bolos;Cataluña;2021;3
Bolos;Cataluña;2020;6
Bolos;Cataluña;2019;6
Bolos;Cataluña;2018;7
Bolos;Cataluña;2017;9
Bolos;Cataluña;2016;9
Bolos;Cataluña;2015;11
Bolos;Cataluña;2014;12
Bolos;Cataluña;2013;10
Bolos;Cataluña;2012;13
Bolos;Cataluña;2011;12
Bolos;Cataluña;2010;16
Bolos;Cataluña;2009;19
Bolos;Cataluña;2008;30
Bolos;Cataluña;2007;44
Bolos;Comunitat Valenciana;2024;15
Bolos;Comunitat Valenciana;2023;14
Bolos;Comunitat Valenciana;2022;16
Bolos;Comunitat Valenciana;2021;6
Bolos;Comunitat Valenciana;2020;12
Bolos;Comunitat Valenciana;2019;20
Bolos;Comunitat Valenciana;2018;28
Bolos;Comunitat Valenciana;2017;28
Bolos;Comunitat Valenciana;2016;30
Bolos;Comunitat Valenciana;2015;21
Bolos;Comunitat Valenciana;2014;20
Bolos;Comunitat Valenciana;2013;27
Bolos;Comunitat Valenciana;2012;25
Bolos;Comunitat Valenciana;2011;28
Bolos;Comunitat Valenciana;2010;26
Bolos;Comunitat Valenciana;2009;27
Bolos;Comunitat Valenciana;2008;28
Bolos;Comunitat Valenciana;2007;43
Bolos;Extremadura;2024;0
Bolos;Extremadura;2023;0
Bolos;Extremadura;2022;0
Bolos;Extremadura;2021;0
Bolos;Extremadura;2020;0
Bolos;Extremadura;2019;0
Bolos;Extremadura;2018;0
Bolos;Extremadura;2017;0
Bolos;Extremadura;2016;0
Bolos;Extremadura;2015;0
Bolos;Extremadura;2014;0
Bolos;Extremadura;2013;0
Bolos;Extremadura;2012;0
Bolos;Extremadura;2011;0
Bolos;Extremadura;2010;0
Bolos;Extremadura;2009;0
Bolos;Extremadura;2008;0
Bolos;Extremadura;2007;0
Bolos;Galicia;2024;37
Bolos;Galicia;2023;47
Bolos;Galicia;2022;33
Bolos;Galicia;2021;29
Bolos;Galicia;2020;31
Bolos;Galicia;2019;32
Bolos;Galicia;2018;32
Bolos;Galicia;2017;29
Bolos;Galicia;2016;36
Bolos;Galicia;2015;31
Bolos;Galicia;2014;33
Bolos;Galicia;2013;39
Bolos;Galicia;2012;37
Bolos;Galicia;2011;33
Bolos;Galicia;2010;37
Bolos;Galicia;2009;34
Bolos;Galicia;2008;33
Bolos;Galicia;2007;44
Bolos;Madrid, Comunidad de;2024;24
Bolos;Madrid, Comunidad de;2023;20
Bolos;Madrid, Comunidad de;2022;17
Bolos;Madrid, Comunidad de;2021;17
Bolos;Madrid, Comunidad de;2020;16
Bolos;Madrid, Comunidad de;2019;17
Bolos;Madrid, Comunidad de;2018;18
Bolos;Madrid, Comunidad de;2017;19
Bolos;Madrid, Comunidad de;2016;19
Bolos;Madrid, Comunidad de;2015;16
Bolos;Madrid, Comunidad de;2014;17
Bolos;Madrid, Comunidad de;2013;14
Bolos;Madrid, Comunidad de;2012;12
Bolos;Madrid, Comunidad de;2011;15
Bolos;Madrid, Comunidad de;2010;16
Bolos;Madrid, Comunidad de;2009;16
Bolos;Madrid, Comunidad de;2008;16
Bolos;Madrid, Comunidad de;2007;75
Bolos;Murcia, Región de;2024;0
Bolos;Murcia, Región de;2023;0
Bolos;Murcia, Región de;2022;0
Bolos;Murcia, Región de;2021;0
Bolos;Murcia, Región de;2020;0
Bolos;Murcia, Región de;2019;0
Bolos;Murcia, Región de;2018;0
Bolos;Murcia, Región de;2017;0
Bolos;Murcia, Región de;2016;0
Bolos;Murcia, Región de;2015;0
Bolos;Murcia, Región de;2014;0
Bolos;Murcia, Región de;2013;0
Bolos;Murcia, Región de;2012;0
Bolos;Murcia, Región de;2011;0
Bolos;Murcia, Región de;2010;0
Bolos;Murcia, Región de;2009;0
Bolos;Murcia, Región de;2008;0
Bolos;Murcia, Región de;2007;0
Bolos;Navarra, Comunidad Foral de;2024;0
Bolos;Navarra, Comunidad Foral de;2023;0
Bolos;Navarra, Comunidad Foral de;2022;0
Bolos;Navarra, Comunidad Foral de;2021;0
Bolos;Navarra, Comunidad Foral de;2020;0
Bolos;Navarra, Comunidad Foral de;2019;0
Bolos;Navarra, Comunidad Foral de;2018;0
Bolos;Navarra, Comunidad Foral de;2017;0
Bolos;Navarra, Comunidad Foral de;2016;0
Bolos;Navarra, Comunidad Foral de;2015;0
Bolos;Navarra, Comunidad Foral de;2014;0
Bolos;Navarra, Comunidad Foral de;2013;0
Bolos;Navarra, Comunidad Foral de;2012;0
Bolos;Navarra, Comunidad Foral de;2011;0
Bolos;Navarra, Comunidad Foral de;2010;0
Bolos;Navarra, Comunidad Foral de;2009;1
Bolos;Navarra, Comunidad Foral de;2008;1
Bolos;Navarra, Comunidad Foral de;2007;1
Bolos;País Vasco;2024;14
Bolos;País Vasco;2023;16
Bolos;País Vasco;2022;15
