Federación;Clubs deportivos federados;periodo;Total
Boxeo;Nº de clubs;2021;541
Boxeo;Nº de clubs;2020;415
Boxeo;Nº de clubs;2019;590
Boxeo;Nº de clubs;2018;522
Boxeo;Nº de clubs;2017;494
Boxeo;Nº de clubs;2016;127
Boxeo;Nº de clubs;2015;205
Boxeo;Nº de clubs;2014;152
Boxeo;Nº de clubs;2013;145
Boxeo;Nº de clubs;2012;151
Boxeo;Nº de clubs;2011;68
Boxeo;Nº de clubs;2010;43
Boxeo;Nº de clubs;2009;42
Boxeo;Nº de clubs;2008;116
Boxeo;Nº de clubs;2007;128
Boxeo;Nº medio de licencias;2024;21,3
Boxeo;Nº medio de licencias;2023;23,0
Boxeo;Nº medio de licencias;2022;12,7
Boxeo;Nº medio de licencias;2021;12,4
Boxeo;Nº medio de licencias;2020;11,4
Boxeo;Nº medio de licencias;2019;20,6
Boxeo;Nº medio de licencias;2018;22,6
Boxeo;Nº medio de licencias;2017;20,5
Boxeo;Nº medio de licencias;2016;25,0
Boxeo;Nº medio de licencias;2015;15,6
Boxeo;Nº medio de licencias;2014;20,7
Boxeo;Nº medio de licencias;2013;20,7
Boxeo;Nº medio de licencias;2012;9,1
Boxeo;Nº medio de licencias;2011;59,0
Boxeo;Nº medio de licencias;2010;83,1
Boxeo;Nº medio de licencias;2009;69,2
Boxeo;Nº medio de licencias;2008;29,0
Boxeo;Nº medio de licencias;2007;24,5
Caza;Nº de clubs;2024;6.245
Caza;Nº de clubs;2023;6.308
Caza;Nº de clubs;2022;6.458
Caza;Nº de clubs;2021;6.303
Caza;Nº de clubs;2020;5.629
Caza;Nº de clubs;2019;5.941
Caza;Nº de clubs;2018;5.965
Caza;Nº de clubs;2017;5.965
Caza;Nº de clubs;2016;6.295
Caza;Nº de clubs;2015;5.836
Caza;Nº de clubs;2014;6.535
Caza;Nº de clubs;2013;5.398
Caza;Nº de clubs;2012;5.831
Caza;Nº de clubs;2011;5.797
Caza;Nº de clubs;2010;5.811
Caza;Nº de clubs;2009;5.689
Caza;Nº de clubs;2008;5.663
Caza;Nº de clubs;2007;6.088
Caza;Nº medio de licencias;2024;52,4
Caza;Nº medio de licencias;2023;52,4
Caza;Nº medio de licencias;2022;51,7
Caza;Nº medio de licencias;2021;53,5
Caza;Nº medio de licencias;2020;59,4
Caza;Nº medio de licencias;2019;56,5
Caza;Nº medio de licencias;2018;53,2
Caza;Nº medio de licencias;2017;55,1
Caza;Nº medio de licencias;2016;52,8
Caza;Nº medio de licencias;2015;57,2
Caza;Nº medio de licencias;2014;51,2
Caza;Nº medio de licencias;2013;65,0
Caza;Nº medio de licencias;2012;63,4
Caza;Nº medio de licencias;2011;67,4
Caza;Nº medio de licencias;2010;68,6
Caza;Nº medio de licencias;2009;72,3
Caza;Nº medio de licencias;2008;71,8
Caza;Nº medio de licencias;2007;69,2
Ciclismo;Nº de clubs;2024;3.536
Ciclismo;Nº de clubs;2023;3.682
Ciclismo;Nº de clubs;2022;3.729
Ciclismo;Nº de clubs;2021;3.623
Ciclismo;Nº de clubs;2020;3.634
Ciclismo;Nº de clubs;2019;3.878
Ciclismo;Nº de clubs;2018;3.808
Ciclismo;Nº de clubs;2017;3.745
Ciclismo;Nº de clubs;2016;3.796
Ciclismo;Nº de clubs;2015;3.575
Ciclismo;Nº de clubs;2014;3.420
Ciclismo;Nº de clubs;2013;3.177
Ciclismo;Nº de clubs;2012;3.043
Ciclismo;Nº de clubs;2011;2.800
Ciclismo;Nº de clubs;2010;2.652
