Comunidad autónoma y tamaño del municipio;Indicador;Frecuencia;Total
Capitales de provincia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Todos los días;35,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,6
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,5
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,8
De más de 50.000 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;56,7
De más de 50.000 habitantes;En % de la población de cada colectivo;Todos los días;20,9
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;49,0
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;54,3
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;55,6
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;36,9
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,5
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,9
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,2
De menos de 50.001 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;50,7
De menos de 50.001 habitantes;En % de la población de cada colectivo;Todos los días;18,9
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;43,6
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;48,1
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;49,5
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;37,3
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;85,9
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;94,8
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,6
