Comunidad autónoma y tamaño de municipio;Indicador;Frecuencia;periodo;Total
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;59,4
Capitales de provincia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Todos los días;2022;39,6
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;92,1
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,1
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,9
De más de 50.000 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;2022;55,3
De más de 50.000 habitantes;En % de la población de cada colectivo;Todos los días;2022;24,5
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;2022;50,2
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;2022;54,2
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;54,7
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;2022;44,3
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;90,6
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,9
De menos de 50.001 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;2022;56,3
De menos de 50.001 habitantes;En % de la población de cada colectivo;Todos los días;2022;23,4
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;2022;51,5
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;2022;55,2
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;55,6
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;2022;41,6
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,5
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,8
