Número de asalariados;Indicador;Actividad económica;periodo;Total
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2010;41,7
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2009;38,6
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2008;37,4
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2024;40,1
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2023;42,0
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2022;48,7
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2021;46,9
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2020;44,5
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2019;44,5
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2018;42,1
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2017;41,0
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2016;38,5
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2015;42,2
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2014;39,5
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2013;37,4
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2012;35,4
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2011;33,7
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2010;27,1
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2009;28,5
SIN ASALARIADOS;porcentaje;323 Fabricación de artículos de deporte;2008;26,9
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2024;32,5
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2023;33,9
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2022;39,0
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2021;40,1
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2020;40,3
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2019;41,1
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2018;43,1
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2017;44,7
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2016;47,5
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2015;49,2
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2014;49,5
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2013;50,7
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2012;54,3
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2011;54,1
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2010;52,3
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2009;46,3
SIN ASALARIADOS;porcentaje;4764 Comercio al por menor de art. deportivos;2008;45,5
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2024;16,2
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2023;16,6
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2022;17,4
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2021;19,0
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2020;17,7
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2019;18,4
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2018;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2017;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2016;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2015;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2014;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2013;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2012;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2011;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2010;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2009;..
SIN ASALARIADOS;porcentaje;8551 Educación deportiva y recreativa;2008;..
De 1 a 5 asalariados;valores absolutos;TOTAL;2024;20.892,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2023;19.476,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2022;18.908,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2021;18.375,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2020;17.936,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2019;17.490,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2018;14.676,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2017;14.716,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2016;14.256,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2015;13.272,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2014;12.343,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2013;11.360,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2012;10.237,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2011;9.612,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2010;9.965,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2009;9.982,0
De 1 a 5 asalariados;valores absolutos;TOTAL;2008;10.179,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2024;15.539,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2023;14.264,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2022;13.776,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2021;13.639,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2020;13.091,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2019;12.824,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2018;11.549,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2017;11.541,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2016;11.077,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2015;10.035,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2014;9.076,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2013;8.143,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2012;7.101,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2011;6.497,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2010;6.638,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2009;6.389,0
De 1 a 5 asalariados;valores absolutos;931 Actividades deportivas;2008;6.455,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2024;102,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2023;99,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2022;90,0
De 1 a 5 asalariados;valores absolutos;323 Fabricación de artículos de deporte;2021;93,0
