Indicador;Actividad económica principal;periodo;Total
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2022;379.490
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2021;422.751
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2020;378.769
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2019;521.401
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2018;371.635
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2017;321.171
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2016;250.238
Personal ocupado (Media anual);9319 Otras actividades deportivas;2023;24.215
Personal ocupado (Media anual);9319 Otras actividades deportivas;2022;21.006
Personal ocupado (Media anual);9319 Otras actividades deportivas;2021;22.184
Personal ocupado (Media anual);9319 Otras actividades deportivas;2020;28.817
Personal ocupado (Media anual);9319 Otras actividades deportivas;2019;26.902
Personal ocupado (Media anual);9319 Otras actividades deportivas;2018;21.437
Personal ocupado (Media anual);9319 Otras actividades deportivas;2017;21.387
Personal ocupado (Media anual);9319 Otras actividades deportivas;2016;21.348
