Indicador;Condición jurídica;periodo;Total
En % total de empresas;Otras formas jurídicas;2012;2,2
En % total de empresas;Otras formas jurídicas;2011;2,1
En % total de empresas;Otras formas jurídicas;2010;2,1
En % total de empresas;Otras formas jurídicas;2009;1,9
En % total de empresas;Otras formas jurídicas;2008;2,1
Porcentaje (de empresas vinculadas al deporte);TOTAL;2024;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2023;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2022;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2021;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2020;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2019;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2018;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2017;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2016;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2015;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2014;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2013;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2012;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2011;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2010;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2009;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2008;100,0
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2024;39,2
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2023;38,7
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2022;34,7
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2021;34,3
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2020;34,2
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2019;33,0
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2018;30,6
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2017;30,4
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2016;29,4
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2015;29,0
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2014;29,2
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2013;30,0
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2012;33,0
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2011;33,1
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2010;33,8
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2009;33,7
Porcentaje (de empresas vinculadas al deporte);Personas físicas;2008;33,1
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2024;33,3
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2023;33,5
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2022;33,0
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2021;33,7
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2020;33,9
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2019;35,6
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2018;37,7
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2017;38,7
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2016;39,8
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2015;40,9
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2014;41,7
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2013;42,0
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2012;40,1
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2011;39,8
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2010;39,7
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2009;40,4
Porcentaje (de empresas vinculadas al deporte);Sociedades anónimas o de responsabilidad limitadas;2008;39,4
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2024;27,4
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2023;27,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2022;32,3
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2021;32,0
