Condición jurídica;Indicador;Actividad económica;periodo;Total
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2013;70,1
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2012;73,1
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2011;74,9
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2010;78,2
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2009;73,6
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2008;71,6
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2024;62,0
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2023;59,9
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2022;59,9
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2021;58,3
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2020;57,6
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2019;57,0
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2018;56,5
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2017;54,6
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2016;52,1
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2015;49,8
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2014;48,1
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2013;45,1
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2012;40,7
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2011;40,9
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2010;40,0
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2009;38,7
SOCIEDADES;porcentaje;4764 Comercio al por menor de art. deportivos;2008;37,9
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2024;28,0
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2023;27,9
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2022;27,3
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2021;27,8
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2020;27,8
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2019;28,7
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2018;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2017;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2016;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2015;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2014;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2013;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2012;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2011;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2010;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2009;..
SOCIEDADES;porcentaje;8551 Educación deportiva y recreativa;2008;..
OTRAS FORMAS;valores absolutos;TOTAL;2024;12.017,0
OTRAS FORMAS;valores absolutos;TOTAL;2023;11.477,0
OTRAS FORMAS;valores absolutos;TOTAL;2022;14.067,0
OTRAS FORMAS;valores absolutos;TOTAL;2021;13.101,0
OTRAS FORMAS;valores absolutos;TOTAL;2020;13.089,0
OTRAS FORMAS;valores absolutos;TOTAL;2019;12.411,0
OTRAS FORMAS;valores absolutos;TOTAL;2018;10.937,0
OTRAS FORMAS;valores absolutos;TOTAL;2017;10.573,0
OTRAS FORMAS;valores absolutos;TOTAL;2016;10.165,0
OTRAS FORMAS;valores absolutos;TOTAL;2015;9.387,0
OTRAS FORMAS;valores absolutos;TOTAL;2014;8.357,0
OTRAS FORMAS;valores absolutos;TOTAL;2013;7.461,0
OTRAS FORMAS;valores absolutos;TOTAL;2012;7.004,0
OTRAS FORMAS;valores absolutos;TOTAL;2011;6.688,0
OTRAS FORMAS;valores absolutos;TOTAL;2010;6.442,0
OTRAS FORMAS;valores absolutos;TOTAL;2009;5.966,0
OTRAS FORMAS;valores absolutos;TOTAL;2008;6.310,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2024;10.853,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2023;10.359,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2022;12.906,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2021;12.030,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2020;11.995,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2019;11.401,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2018;10.488,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2017;10.049,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2016;9.493,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2015;8.620,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2014;7.653,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2013;6.811,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2012;6.349,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2011;6.032,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2010;5.816,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2009;5.214,0
OTRAS FORMAS;valores absolutos;931 Actividades deportivas;2008;5.546,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2024;11,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2023;12,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2022;12,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2021;12,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2020;11,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2019;8,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2018;12,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2017;10,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2016;10,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2015;10,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2014;11,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2013;11,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2012;10,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2011;9,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2010;6,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2009;7,0
OTRAS FORMAS;valores absolutos;323 Fabricación de artículos de deporte;2008;9,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;246,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;258,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;367,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;393,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;401,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;443,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;437,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;514,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;662,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;757,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;693,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;639,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;645,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;647,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;620,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;745,0
OTRAS FORMAS;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;755,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2024;907,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2023;848,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2022;782,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2021;666,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2020;682,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2019;559,0
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2018;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2017;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2016;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2015;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2014;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2013;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2012;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2011;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2010;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2009;..
OTRAS FORMAS;valores absolutos;8551 Educación deportiva y recreativa;2008;..
OTRAS FORMAS;porcentaje;TOTAL;2024;27,4
OTRAS FORMAS;porcentaje;TOTAL;2023;27,9
OTRAS FORMAS;porcentaje;TOTAL;2022;32,3
OTRAS FORMAS;porcentaje;TOTAL;2021;32,0
OTRAS FORMAS;porcentaje;TOTAL;2020;31,9
OTRAS FORMAS;porcentaje;TOTAL;2019;31,5
OTRAS FORMAS;porcentaje;TOTAL;2018;31,7
OTRAS FORMAS;porcentaje;TOTAL;2017;30,9
OTRAS FORMAS;porcentaje;TOTAL;2016;30,7
OTRAS FORMAS;porcentaje;TOTAL;2015;30,1
OTRAS FORMAS;porcentaje;TOTAL;2014;29,1
OTRAS FORMAS;porcentaje;TOTAL;2013;27,9
OTRAS FORMAS;porcentaje;TOTAL;2012;26,9
OTRAS FORMAS;porcentaje;TOTAL;2011;27,1
OTRAS FORMAS;porcentaje;TOTAL;2010;26,6
OTRAS FORMAS;porcentaje;TOTAL;2009;25,9
OTRAS FORMAS;porcentaje;TOTAL;2008;27,5
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2024;30,9
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2023;31,7
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2022;37,3
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2021;37,1
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2020;37,2
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2019;37,1
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2018;37,1
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2017;36,3
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2016;36,2
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2015;35,9
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2014;35,6
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2013;35,3
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2012;34,9
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2011;35,8
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2010;35,7
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2009;34,2
OTRAS FORMAS;porcentaje;931 Actividades deportivas;2008;37,1
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2024;3,9
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2023;4,3
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2022;4,0
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2021;4,1
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2020;4,0
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2019;2,9
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2018;4,6
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2017;4,6
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2016;4,8
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2015;4,9
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2014;6,2
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2013;6,3
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2012;5,7
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2011;5,1
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2010;3,2
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2009;3,6
OTRAS FORMAS;porcentaje;323 Fabricación de artículos de deporte;2008;4,6
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2024;5,6
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2023;5,7
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2022;7,2
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2021;7,7
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2020;7,4
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2019;7,7
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2018;7,3
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2017;8,1
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2016;9,9
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2015;10,9
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2014;9,8
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2013;8,8
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2012;8,4
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2011;8,5
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2010;8,0
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2009;9,9
OTRAS FORMAS;porcentaje;4764 Comercio al por menor de art. deportivos;2008;9,7
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2024;22,6
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2023;22,6
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2022;22,3
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2021;22,3
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2020;22,2
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2019;21,3
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2018;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2017;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2016;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2015;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2014;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2013;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2012;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2011;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2010;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2009;..
OTRAS FORMAS;porcentaje;8551 Educación deportiva y recreativa;2008;..
