Indicador;Número de asalariados;periodo;Total
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2011;5,0
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2010;4,8
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2009;5,3
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2008;5,6
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2024;7,2
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2023;7,2
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2022;6,4
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2021;6,0
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2020;7,0
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2019;7,1
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2018;7,4
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2017;7,3
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2016;7,4
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2015;7,2
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2014;7,1
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2013;7,7
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2012;7,9
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2011;7,9
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2010;7,9
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2009;8,7
Porcentaje (de empresas vinculadas al deporte);De 10 a 49 asalariados;2008;8,4
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2024;0,6
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2023;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2022;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2021;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2020;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2019;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2018;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2017;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2016;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2015;0,5
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2014;0,6
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2013;0,7
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2012;0,7
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2011;0,8
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2010;0,7
