Indicador;Comunidad autónoma;periodo;Total
En % del total de empresas;Extremadura;2008;0,6
En % del total de empresas;Galicia;2024;1,5
En % del total de empresas;Galicia;2023;1,4
En % del total de empresas;Galicia;2022;1,4
En % del total de empresas;Galicia;2021;1,3
En % del total de empresas;Galicia;2020;1,3
En % del total de empresas;Galicia;2019;1,2
En % del total de empresas;Galicia;2018;1,1
En % del total de empresas;Galicia;2017;1,1
En % del total de empresas;Galicia;2016;1,1
En % del total de empresas;Galicia;2015;1,0
En % del total de empresas;Galicia;2014;1,0
En % del total de empresas;Galicia;2013;0,9
En % del total de empresas;Galicia;2012;0,9
En % del total de empresas;Galicia;2011;0,8
En % del total de empresas;Galicia;2010;0,8
En % del total de empresas;Galicia;2009;0,7
En % del total de empresas;Galicia;2008;0,7
En % del total de empresas;Madrid, Comunidad de;2024;1,2
En % del total de empresas;Madrid, Comunidad de;2023;1,1
